,Status of Reopening,Stay at Home Order,Mandatory Quarantine for Travelers,Non-Essential Business Closures,Large Gatherings Ban,Restaurant Limits,Bar Closures*,Statewide Face Mask Requirement,Emergency Declaration
Indiana,Reopened,Lifted,-,All Non-Essential Businesses Open,No Limit,Open,Open,No,Yes
Iowa,Reopened,-,-,All Non-Essential Businesses Open,No Limit,Open,Open,No,Yes
Kansas,Reopened,Lifted,From Certain States,All Non-Essential Businesses Open,No Limit,Open,Open,Unvaccinated People Only,Yes
Kentucky,Reopened,Lifted,Lifted,All Non-Essential Businesses Open,No Limit,Open,Open,No,Yes
Louisiana,Reopened,Lifted,-,All Non-Essential Businesses Open,No Limit,Open,Open,No,Yes
Maine,Reopened,Lifted,Lifted,All Non-Essential Businesses Open,No Limit,Open,Open,No,Yes
Maryland,Reopened,Lifted,Lifted,All Non-Essential Businesses Open,No Limit,Open,Open,No,Yes
Massachusetts,Reopened,Lifted,Lifted,All Non-Essential Businesses Open,No Limit,Open,Open,No,No
Michigan,Easing Restrictions,Lifted,-,All Non-Essential Businesses Open with Limits,>25 Prohibited,Open with Service Limits,Open with Service Limits,Unvaccinated People Only,Yes
Minnesota,Easing Restrictions,Lifted,-,All Non-Essential Businesses Open with Limits,>50 Prohibited,Open,Open,No,Yes
Mississippi,Reopened,Lifted,-,All Non-Essential Businesses Open,No Limit,Open,Open,No,Yes
Missouri,Reopened,Lifted,-,All Non-Essential Businesses Open,No Limit,Open,Open,No,Yes
Montana,Reopened,Lifted,Lifted,All Non-Essential Businesses Open,No Limit,Open,Open,No,Yes
Nebraska,Reopened,-,Lifted,All Non-Essential Businesses Open,No Limit,Open,Open,No,Yes
Nevada,Reopened,Lifted,-,All Non-Essential Businesses Open,No Limit,Open,Open,Unvaccinated People Only,Yes
New Hampshire,Reopened,Lifted,Lifted,All Non-Essential Businesses Open,No Limit,Open,Open,No,Yes
New Jersey,Reopened,Lifted,Lifted,All Non-Essential Businesses Open,>50 Prohibited,Open,Open,No,Yes
New Mexico,Easing Restrictions,Lifted,Lifted,Some Non-Essential Businesses Open with Limits,Limit >50,Open with Service Limits,Open with Service Limits,Unvaccinated People Only,Yes
New York,Reopened,Lifted,Lifted,All Non-Essential Businesses Open,Limit >50,Open,Open,Unvaccinated People Only,Yes
North Carolina,Reopened,Lifted,-,All Non-Essential Businesses Open,No Limit,Open,Open,No,Yes
North Dakota,Reopened,-,Lifted,All Non-Essential Businesses Open,No Limit,Open,Open,No,No
Ohio,Reopened,Lifted,Lifted,All Non-Essential Businesses Open,No Limit,Open,Open,No,Yes
Oklahoma,Reopened,Lifted,Lifted,All Non-Essential Businesses Open,No Limit,Open,Open,No,No
Oregon,Easing Restrictions,Lifted,-,All Non-Essential Businesses Open with Limits,>10 Prohibited,Open with Service Limits,Open with Service Limits,Yes,Yes
Pennsylvania,Reopened,Lifted,Lifted,All Non-Essential Businesses Open,No Limit,Open,Open,Unvaccinated People Only,Yes
Rhode Island,Reopened,Lifted,From Certain States,All Non-Essential Businesses Open,No Limit,Open,Open,Unvaccinated People Only,Yes
South Carolina,Reopened,Lifted,Lifted,All Non-Essential Businesses Open,No Limit,Open,Open,No,Yes
South Dakota,Reopened,-,-,All Non-Essential Businesses Open,No Limit,Open,Open,No,Yes
Tennessee,Reopened,Lifted,-,All Non-Essential Businesses Open,No Limit,Open,Open,No,No
Texas,Reopened,Lifted,Lifted,All Non-Essential Businesses Open,No Limit,Open,Open,No,Yes
Utah,Reopened,Lifted,Lifted,All Non-Essential Businesses Open,No Limit,Open,Open,No,Yes
Vermont,Easing Restrictions,Lifted,Lifted,Some Non-Essential Businesses Open with Limits,All Gatherings Prohibited,Open with Service Limits,Open with Service Limits,Unvaccinated People Only,Yes
Virginia,Reopened,Lifted,-,All Non-Essential Businesses Open,No Limit,Open,Open,No,Yes
Washington,Easing Restrictions,Lifted,Lifted,All Non-Essential Businesses Open with Limits,>10 Prohibited,Open with Service Limits,Closed,Unvaccinated People Only,Yes
West Virginia,Reopened,Lifted,Lifted,All Non-Essential Businesses Open,No Limit,Open,Open,Unvaccinated People Only,Yes
Wisconsin,Reopened,Lifted,-,All Non-Essential Businesses Open,No Limit,Open,Open,No,No
Wyoming,Reopened,-,Lifted,All Non-Essential Businesses Open,No Limit,Open,Open,No,Yes
