"State","CumulativeTests","TestsPer1000","CurrentlyHospitalized","CumulativeHospitalizations","Rolling Avg Change in Cases (7 Days)","Rolling Avg Change in Deaths (7 Days)","Rolling Avg Change in Positives (7 Days)","Rolling Avg Change in Tests (7 Days)","Positivity Rate (7 Days - Rolling)","Change in Tests (7 Days) Over Pop","Pct Change in Positives (2 Wks - Rolling)","Pct Change in Tests (7 Days - Rolling)","Pct Change in Cases (2 Wks - Rolling)","Pct Change in Deaths (2 Wks - Rolling)"
"US Total",23535104,71.7010059754443,27247,225061,21392.7142857143,736.714285714286,21029.8571428571,467854.428571429,0.0449495737532523,0.00997741213510111,-0.143221004492411,0.0266131006622712,0.012618083214433,-0.220996978851964
"Alabama",297455,60.6656693557351,540,2255,730.714285714286,11.5714285714286,730.714285714286,5412.71428571429,0.134999604106733,0.00772742615259265,0.198763263088701,-0.0981600933044535,0.472366148531952,0.0253164556962024
"Alaska",73467,100.427178095674,11,NA,16.7142857142857,0.285714285714286,16.7142857142857,1223.28571428571,0.0136634357117833,0.0117053633064268,3.30293121569543,-0.351729881141646,1.25,NA
"Arizona",338045,46.4429376770659,1457,3726,1245.28571428571,20,1257.42857142857,8060.57142857143,0.155997447894513,0.00775191561919498,0.80262271941491,0.000159532039351172,1.44928350660298,0.320754716981132
"Arkansas",196989,65.2756110072092,204,998,439.285714285714,3.57142857142857,439.285714285714,5245.14285714286,0.0837509532628827,0.0121664627656402,0.317237006465203,0.193705702581442,1.31029301277235,0.470588235294118
"California",2801996,70.9146635460121,4247,NA,3097.85714285714,66.7142857142857,2863.28571428571,62825.4285714286,0.0455752675213403,0.0111301760976597,-0.0766552288211329,0.0536885736876153,0.209358094919413,0.114558472553699
"Colorado",244643,42.48206550882,262,5244,161.142857142857,10.1428571428571,167,4518.42857142857,0.0369597521262133,0.00549235109926901,-0.470439840200985,-0.0234044524037421,-0.484931506849315,-0.371681415929204
"Connecticut",349106,97.9180638192662,205,9912,160,18.5714285714286,160,6678.85714285714,0.0239561943874059,0.0131131098281849,-0.503596687563909,-0.10621702225281,-0.359267734553776,-0.48207171314741
"Delaware",81787,83.9905767721953,93,NA,46,3.42857142857143,46,1827.14285714286,0.0251759186864738,0.0131345993485074,-0.678413265080325,0.536151813595965,-0.532656023222061,-0.4
"District of Columbia",64530,91.434773552637,186,NA,62.1428571428571,3.71428571428571,62.1428571428571,1426.14285714286,0.0435740759290794,0.0141452556078719,-0.703591914638118,0.23797123015873,-0.370477568740955,-0.235294117647059
"Florida",1409015,65.6035130703016,NA,12224,1661.42857142857,33,1661.42857142857,27551,0.0603037483731469,0.00897939107830588,0.709296994578282,-0.0100200709412809,1.19599697885196,0.0794392523364485
"Georgia",620790,58.4689900741451,829,9248,826.142857142857,38.7142857142857,826.142857142857,11558,0.0714780115195412,0.00762011648212565,-0.0046841983199857,0.0880458317083338,0.389810141792838,0.199115044247788
"Hawaii",60322,42.6041337070018,NA,89,7.57142857142857,0,7.14285714285714,895.285714285714,0.00797829902664752,0.00442624757040184,4.03430668581458,0.125538793103448,4.88888888888889,NA
"Idaho",62980,35.2421428431534,NA,266,37.1428571428571,0.571428571428571,37.1428571428571,991.285714285714,0.0374693759907768,0.00388290297219183,-0.0692466273840379,-0.257384417808219,0.220657276995305,0.333333333333333
"Illinois",1191846,94.0548323717641,1914,NA,683.714285714286,57.7142857142857,806.714285714286,21296,0.0378810239347429,0.0117640550635935,-0.427987406960488,0.0315330588520223,-0.519284853354761,-0.243445692883895
"Indiana",348391,51.7498019597996,869,6419,358.857142857143,17,358.857142857143,6304,0.0569253081943437,0.00655474814470533,-0.27472742889977,0.0330313458342112,-0.214509068167605,-0.246835443037975
"Iowa",224634,71.1977864199526,203,NA,316.285714285714,6.71428571428571,322.714285714286,5206,0.0619889138905658,0.0115502984085932,-0.230798433723153,0.142525708552797,-0.0378096479791396,-0.405063291139241
"Kansas",129152,44.3316443061064,NA,973,99.2857142857143,1.71428571428571,93.4285714285714,2214.14285714286,0.0421962707271437,0.00532005818802917,0.0266280584928586,-0.17135372112917,-0.00143678160919536,0.2
"Kentucky",294585,65.9370101616658,410,2433,165.428571428571,4.14285714285714,165.428571428571,6503.28571428571,0.0254376908375986,0.0101894207566221,0.279203771547234,0.289274689172732,0.0220653133274491,-0.275
"Louisiana",509332,109.562178922103,556,NA,543.285714285714,11.1428571428571,543.285714285714,10752.4285714286,0.0505267912896754,0.0161906507365136,0.0865559307808507,0.276663952778343,0.384419366581726,-0.22
"Maine",69858,51.9694810044844,29,314,31.8571428571429,0.142857142857143,31.8571428571429,1555.57142857143,0.0204793828634402,0.00810065674164492,-0.0819168511885934,0.163354700854701,-0.174074074074074,-0.909090909090909
"Maryland",415309,68.6951674584166,751,10165,532.571428571429,27.1428571428571,532.571428571429,7215.14285714286,0.0738130123153685,0.00835406438977915,-0.297617524419311,-0.197323670576269,-0.423356535189482,-0.254901960784314
"Massachusetts",712710,103.403654666527,1039,10802,309.571428571429,44,309.571428571429,8602.85714285714,0.0359847226834939,0.00873702920404968,-0.492690902587947,0.00977581031909714,-0.544747899159664,-0.350210970464135
"Michigan",813498,81.4568587494544,636,NA,155,12.7142857142857,155,12467.5714285714,0.0124322528158766,0.00873878538563234,-0.39802219146014,-0.0858115539726601,-0.672798552472859,-0.664150943396226
"Minnesota",417710,74.0668894708024,369,3610,369.285714285714,18.8571428571429,211.857142857143,9224.14285714286,0.0229676779878889,0.011449151292141,-0.578330365513197,-0.0734293832333611,-0.395604395604396,-0.232558139534884
"Mississippi",214053,71.9228103162846,667,2665,320.857142857143,10.5714285714286,320.857142857143,1630.28571428571,0.196810375043814,0.00363019459039181,2.00256148427225,-0.636699350566662,-0.00751215201060544,-0.321100917431193
"Missouri",275489,44.8867180193397,647,NA,161.857142857143,5,179.571428571429,5518.71428571429,0.0325386347751806,0.00629433045894795,0.17751114731719,-0.107767281797815,-0.0382003395585738,-0.3
"Montana",58907,55.1162168382957,6,77,8,0.142857142857143,8,1647,0.00485731633272617,0.0107870858120208,-0.13418336369156,0.520976253298153,0.555555555555555,0
"Nebraska",136115,70.3651970008395,156,1070,152.285714285714,4,155.714285714286,2335.14285714286,0.0666829805456993,0.0084501304791957,-0.37573453964081,-0.122456648950448,-0.458057956278597,0.217391304347826
