"State","CumulativeTests","TestsPer1000","CurrentlyHospitalized","CumulativeHospitalizations","Rolling Avg Change in Cases (7 Days)","Rolling Avg Change in Deaths (7 Days)","Rolling Avg Change in Positives (7 Days)","Rolling Avg Change in Tests (7 Days)","Positivity Rate (7 Days - Rolling)","Change in Tests (7 Days) Over Pop","Pct Change in Positives (2 Wks - Rolling)","Pct Change in Tests (7 Days - Rolling)","Pct Change in Cases (2 Wks - Rolling)","Pct Change in Deaths (2 Wks - Rolling)"
"US Total",21888068,66.6832190101617,29064,221983,21277.7142857143,823.285714285714,21041.7142857143,460724.285714286,0.0456709466771264,0.00982535549200149,-0.199084284550653,0.068932555631346,0.0110030341494539,-0.174118658641445
"Alabama",278826,56.8663022096862,647,2165,448.285714285714,13,448.285714285714,5923.28571428571,0.0756819332899211,0.00845634011362002,-0.234535489822753,0.158184357541899,0.0530201342281879,0.491803278688525
"Alaska",69011,94.3359601938363,18,NA,12.5714285714286,0.142857142857143,12.5714285714286,1362.57142857143,0.00922625288320402,0.0130381589649304,7.59702243656951,-0.192994331161689,7.8,NA
"Arizona",309582,42.5324957681416,1291,3531,1070.85714285714,16.8571428571429,1088.42857142857,7880.28571428571,0.138120445234038,0.00757853341461139,0.800588349687367,0.143040676350525,2.10779436152571,0.35632183908046
"Arkansas",176665,58.5409125310988,187,925,328.714285714286,3.28571428571429,328.714285714286,4819.57142857143,0.0682040489670095,0.0111793211222465,0.0352667966436655,0.254909983633388,0.806122448979592,0.769230769230769
"California",2597647,65.7428715159863,4534,NA,2909.57142857143,68.5714285714286,2643.42857142857,58500.5714285714,0.045186371805892,0.0103639828110911,0.0803003829441343,0.0382961460446247,0.353019331694679,0.209068010075567
"Colorado",230345,39.9992289974744,277,5035,205.428571428571,11.1428571428571,222.714285714286,4559.57142857143,0.0488454428674374,0.00554236207389955,-0.353190662211941,-0.0817101591046409,-0.265201839550332,-0.161290322580645
"Connecticut",321948,90.300724738289,246,9912,179.428571428571,18.7142857142857,179.428571428571,5782.42857142857,0.0310299676359414,0.0113530832160216,-0.529745319868962,-0.207483259584133,-0.450568678915136,-0.521897810218978
"Delaware",74033,76.0276617332331,109,NA,49.1428571428571,5.42857142857143,49.1428571428571,975,0.0504029304029304,0.00700888510973912,-0.440706285584334,-0.281503316138541,-0.618625277161863,0.11764705882353
"District of Columbia",59288,84.0072036942312,238,NA,74.4285714285714,3.71428571428571,74.4285714285714,1232.85714285714,0.0603707995365006,0.0122281434334303,-0.049177559580682,0.257101238164603,-0.390643274853801,-0.315789473684211
