Country,Date,Confirmed Cases,New Cases,Confirmed Deaths,New Deaths,Income,Region,Population,year,cpm,dpm,new_cases_per_million,new_deaths_per_million,cases_income,deaths_income,new_cases_income,new_deaths_income,cpm_income,dpm_income,new_cpm_income,new_dpm_income,cases_region,deaths_region,new_cases_region,new_deaths_region,cpm_region,dpm_region,new_cpm_region,new_dpm_region
Afghanistan,2024-11-17,235214,,7998,,Low income,Eastern Mediterranean Region,40099462,,5865.76448332399,199.454047538094,,,1944457,43529,0,0,2707.19564093799,60.6038184718868,0,0,23417911,351975,0,0,30756.0421139575,462.268300663548,0,0
Albania,2024-11-17,337196,0,3608,0,Upper middle income,European Region,2854710,,118119.178480476,1263.87619057628,0,0,222912998,2541495,1387,11,88462.3257538351,1008.58433832442,0.550426610029126,0.00436531558062032,280454924,2277200,37900,165,301302.372620253,2446.47429663542,40.7172737759012,0.177265176069227
Algeria,2024-11-17,272173,,6881,,Upper middle income,African Region,44177969,,6160.8309788981,155.756368066626,,,222912998,2541495,1387,11,88462.3257538351,1008.58433832442,0.550426610029126,0.00436531558062032,9045325,174423,0,0,7779.86738530081,150.020901288381,0,0
American Samoa,2024-11-17,8359,,34,,High income,Western Pacific Region,45035,,185611.191295659,754.968357943822,,,455558910,3457623,40253,546,365744.62930975,2775.94623805704,32.3170466880021,0.438355091338513,208587244,421594,1540,9,108395.926034721,219.088527008306,0.800287318113615,0.00467700380715749
Andorra,2024-11-17,48015,,159,,High income,European Region,79034,,607523.34438343,2011.79239314725,,,455558910,3457623,40253,546,365744.62930975,2775.94623805704,32.3170466880021,0.438355091338513,280454924,2277200,37900,165,301302.372620253,2446.47429663542,40.7172737759012,0.177265176069227
Angola,2024-11-17,107482,,1937,,Lower middle income,African Region,34503774,,3115.07952724244,56.1387864411586,,,78216924,927992,71,1,23026.9448512723,273.199449858471,0.0209022932740276,0.000294398496817291,9045325,174423,0,0,7779.86738530081,150.020901288381,0,0
Anguilla,2024-11-17,3904,,12,,,Region of the Americas,15753,,247825.810956643,761.759664825748,,,18263911,105690,0,0,,,,,192757531,3037994,1649,382,187826.415365904,2960.27615607468,1.60681534636577,0.372227690910689
Antigua & Barbuda,2024-11-17,9106,,146,,High income,Region of the Americas,93219,,97683.948551261,1566.20431457106,,,455558910,3457623,40253,546,365744.62930975,2775.94623805704,32.3170466880021,0.438355091338513,192757531,3037994,1649,382,187826.415365904,2960.27615607468,1.60681534636577,0.372227690910689
Argentina,2024-11-17,10109233,502,130710,6,Upper middle income,Region of the Americas,45276780,,223276.32397887,2886.91024405888,11.0873608944806,0.132518257702955,222912998,2541495,1387,11,88462.3257538351,1008.58433832442,0.550426610029126,0.00436531558062032,192757531,3037994,1649,382,187826.415365904,2960.27615607468,1.60681534636577,0.372227690910689
Armenia,2024-11-17,453040,0,8779,0,Upper middle income,European Region,2790974,,162323.260625144,3145.49687671759,0,0,222912998,2541495,1387,11,88462.3257538351,1008.58433832442,0.550426610029126,0.00436531558062032,280454924,2277200,37900,165,301302.372620253,2446.47429663542,40.7172737759012,0.177265176069227
Aruba,2024-11-17,44224,,292,,High income,Region of the Americas,106537,,415104.611543408,2740.83182368567,,,455558910,3457623,40253,546,365744.62930975,2775.94623805704,32.3170466880021,0.438355091338513,192757531,3037994,1649,382,187826.415365904,2960.27615607468,1.60681534636577,0.372227690910689
Australia,2024-11-17,11861161,,25236,,High income,Western Pacific Region,25921089,,457587.295039958,973.570207640582,,,455558910,3457623,40253,546,365744.62930975,2775.94623805704,32.3170466880021,0.438355091338513,208587244,421594,1540,9,108395.926034721,219.088527008306,0.800287318113615,0.00467700380715749
Austria,2024-11-17,6082922,18,22534,0,High income,European Region,8922082,,681782.794643672,2525.64367823564,2.01746632680578,0,455558910,3457623,40253,546,365744.62930975,2775.94623805704,32.3170466880021,0.438355091338513,280454924,2277200,37900,165,301302.372620253,2446.47429663542,40.7172737759012,0.177265176069227
Azerbaijan,2024-11-17,836489,2,10353,0,Upper middle income,European Region,10312992,,81110.2151538564,1003.87937855474,0.193930141708633,0,222912998,2541495,1387,11,88462.3257538351,1008.58433832442,0.550426610029126,0.00436531558062032,280454924,2277200,37900,165,301302.372620253,2446.47429663542,40.7172737759012,0.177265176069227
Bahamas,2024-11-17,39127,,849,,High income,Region of the Americas,407906,,95921.6093903988,2081.36188239447,,,455558910,3457623,40253,546,365744.62930975,2775.94623805704,32.3170466880021,0.438355091338513,192757531,3037994,1649,382,187826.415365904,2960.27615607468,1.60681534636577,0.372227690910689
Bahrain,2024-11-17,696614,,1536,,High income,Eastern Mediterranean Region,1463265,,476068.244644682,1049.70733257476,,,455558910,3457623,40253,546,365744.62930975,2775.94623805704,32.3170466880021,0.438355091338513,23417911,351975,0,0,30756.0421139575,462.268300663548,0,0
Bangladesh,2024-11-17,2051494,8,29499,0,Lower middle income,South-East Asia Region,169356251,,12113.482601832,174.183118874071,0.0472377013116569,0,78216924,927992,71,1,23026.9448512723,273.199449858471,0.0209022932740276,0.000294398496817291,61323334,808857,622,2,29819.6684785061,393.322508957504,0.302459644376654,0.000972539049442619
Barbados,2024-11-17,108836,0,593,0,High income,Region of the Americas,281200,,387041.251778094,2108.81934566145,0,0,455558910,3457623,40253,546,365744.62930975,2775.94623805704,32.3170466880021,0.438355091338513,192757531,3037994,1649,382,187826.415365904,2960.27615607468,1.60681534636577,0.372227690910689
Belarus,2024-11-17,994038,0,7118,0,Upper middle income,European Region,9578167,,103781.65258551,743.148454187529,0,0,222912998,2541495,1387,11,88462.3257538351,1008.58433832442,0.550426610029126,0.00436531558062032,280454924,2277200,37900,165,301302.372620253,2446.47429663542,40.7172737759012,0.177265176069227
Belgium,2024-11-17,4890949,479,34339,0,High income,European Region,11611419,,421218.88806183,2957.34741808904,41.2524946348073,0,455558910,3457623,40253,546,365744.62930975,2775.94623805704,32.3170466880021,0.438355091338513,280454924,2277200,37900,165,301302.372620253,2446.47429663542,40.7172737759012,0.177265176069227
Belize,2024-11-17,71430,0,688,0,Upper middle income,Region of the Americas,400031,,178561.161509983,1719.86671032995,0,0,222912998,2541495,1387,11,88462.3257538351,1008.58433832442,0.550426610029126,0.00436531558062032,192757531,3037994,1649,382,187826.415365904,2960.27615607468,1.60681534636577,0.372227690910689
Benin,2024-11-17,28036,,163,,Lower middle income,African Region,12996895,,2157.1306069642,12.5414570172337,,,78216924,927992,71,1,23026.9448512723,273.199449858471,0.0209022932740276,0.000294398496817291,9045325,174423,0,0,7779.86738530081,150.020901288381,0,0
Bermuda,2024-11-17,18860,,165,,High income,Region of the Americas,64185,,293838.124172314,2570.6940874036,,,455558910,3457623,40253,546,365744.62930975,2775.94623805704,32.3170466880021,0.438355091338513,192757531,3037994,1649,382,187826.415365904,2960.27615607468,1.60681534636577,0.372227690910689
Bhutan,2024-11-17,62697,,21,,Lower middle income,South-East Asia Region,777486,,80640.6803466558,27.0101326583373,,,78216924,927992,71,1,23026.9448512723,273.199449858471,0.0209022932740276,0.000294398496817291,61323334,808857,622,2,29819.6684785061,393.322508957504,0.302459644376654,0.000972539049442619
Bolivia,2024-11-17,1212156,0,22387,0,Lower middle income,Region of the Americas,12079472,,100348.425825235,1853.30948240122,0,0,78216924,927992,71,1,23026.9448512723,273.199449858471,0.0209022932740276,0.000294398496817291,192757531,3037994,1649,382,187826.415365904,2960.27615607468,1.60681534636577,0.372227690910689
Caribbean Netherlands,2024-11-17,11922,,41,,,Region of the Americas,26706,,446416.535609975,1535.23552759679,,,18263911,105690,0,0,,,,,192757531,3037994,1649,382,187826.415365904,2960.27615607468,1.60681534636577,0.372227690910689
Bosnia & Herzegovina,2024-11-17,403979,0,16403,0,Upper middle income,European Region,3270943,,123505.362215117,5014.76179805029,0,0,222912998,2541495,1387,11,88462.3257538351,1008.58433832442,0.550426610029126,0.00436531558062032,280454924,2277200,37900,165,301302.372620253,2446.47429663542,40.7172737759012,0.177265176069227
Botswana,2024-11-17,330696,,2801,,Upper middle income,African Region,2588423,,127759.643613119,1082.12606672093,,,222912998,2541495,1387,11,88462.3257538351,1008.58433832442,0.550426610029126,0.00436531558062032,9045325,174423,0,0,7779.86738530081,150.020901288381,0,0
Brazil,2024-11-17,37511921,,702116,,Upper middle income,Region of the Americas,214326223,,175022.544954753,3275.92205084489,,,222912998,2541495,1387,11,88462.3257538351,1008.58433832442,0.550426610029126,0.00436531558062032,192757531,3037994,1649,382,187826.415365904,2960.27615607468,1.60681534636577,0.372227690910689
British Virgin Islands,2024-11-17,7628,,64,,High income,Region of the Americas,31122,,245099.929310456,2056.42310905469,,,455558910,3457623,40253,546,365744.62930975,2775.94623805704,32.3170466880021,0.438355091338513,192757531,3037994,1649,382,187826.415365904,2960.27615607468,1.60681534636577,0.372227690910689
