Country,Date,Confirmed Cases,New Cases,Confirmed Deaths,New Deaths,Income,Region,Population,cpm,dpm,new_cases_per_million,new_deaths_per_million,cases_income,deaths_income,new_cases_income,new_deaths_income,income_pop,cpm_income,dpm_income,new_cpm_income,new_dpm_income,cases_region,deaths_region,new_cases_region,new_deaths_region,region_pop,cpm_region,dpm_region,new_cpm_region,new_dpm_region
Armenia,2022-06-26,423104,60,8625,,Upper middle income,European Region,2790974,151597.256011701,3090.319006913,21.4978713524383,,129347488,2478330,957143,3218,2519863638,51331.1458800454,983.517505719887,379.839204616516,1.27705323076693,226500728,2050723,2143007,3382,930808880,243337.523810473,2203.1622646316,2302.30614043992,3.63339894221894
Anguilla,2022-06-26,3411,37,9,,,Region of the Americas,15753,216530.184726719,571.319748619311,2348.75896654606,,16188230,102902,40410,36,,,,,,162333971,2764109,1410857,4761,1026253579,158181.149690295,2693.39767145407,1374.76451129629,4.63920428383714
Aruba,2022-06-26,40179,840,221,2,High income,Region of the Americas,106537,377136.581657077,2074.39668847443,7884.58469827384,18.7728207101758,337276192,2955127,3445216,6885,1245565549,270781.567674846,2372.51825275074,2765.9853010273,5.52760953088949,162333971,2764109,1410857,4761,1026253579,158181.149690295,2693.39767145407,1374.76451129629,4.63920428383714
Afghanistan,2022-06-26,182072,498,7717,4,Low income,Eastern Mediterranean Region,40099462,4540.50979536833,192.44647222449,12.4191192390561,0.099751961759487,1783372,42516,6835,43,718255072,2482.92294690541,59.193455998317,9.51611797319825,0.0598673113163898,21951202,343486,73491,67,761408471,28829.7317879459,451.119225858994,96.5198087479644,0.0879948182241855
Austria,2022-06-26,4399333,58037,19970,33,High income,European Region,8922082,493083.677105859,2238.26680812842,6504.87184493485,3.6986882658106,337276192,2955127,3445216,6885,1245565549,270781.567674846,2372.51825275074,2765.9853010273,5.52760953088949,226500728,2050723,2143007,3382,930808880,243337.523810473,2203.1622646316,2302.30614043992,3.63339894221894
Albania,2022-06-26,278211,1185,3497,,Upper middle income,European Region,2854710,97456.8344945721,1224.99308160899,415.103460596698,,129347488,2478330,957143,3218,2519863638,51331.1458800454,983.517505719887,379.839204616516,1.27705323076693,226500728,2050723,2143007,3382,930808880,243337.523810473,2203.1622646316,2302.30614043992,3.63339894221894
United Arab Emirates,2022-06-26,937037,11139,2311,3,High income,Eastern Mediterranean Region,9365145,100055.791981865,246.766067156462,1189.41030811589,0.320336737978964,337276192,2955127,3445216,6885,1245565549,270781.567674846,2372.51825275074,2765.9853010273,5.52760953088949,21951202,343486,73491,67,761408471,28829.7317879459,451.119225858994,96.5198087479644,0.0879948182241855
Angola,2022-06-26,101257,431,1900,,Lower middle income,African Region,34503774,2934.66448047104,55.0664399784209,12.4913871740523,,57949976,784157,145483,230,3396756474,17060.3858249981,230.854642068756,42.8299765124699,0.0677116542679768,8658276,172501,26987,228,1162657993,7446.96725273362,148.367792625669,23.211469032579,0.196102380384186
Antigua & Barbuda,2022-06-26,8625,44,141,1,High income,Region of the Americas,93219,92524.0562546262,1512.56718051041,472.006779733745,10.7274268121306,337276192,2955127,3445216,6885,1245565549,270781.567674846,2372.51825275074,2765.9853010273,5.52760953088949,162333971,2764109,1410857,4761,1026253579,158181.149690295,2693.39767145407,1374.76451129629,4.63920428383714
Burundi,2022-06-26,42593,121,15,,Low income,African Region,12551213,3393.53654503354,1.19510361269465,9.64050247573681,,1783372,42516,6835,43,718255072,2482.92294690541,59.193455998317,9.51611797319825,0.0598673113163898,8658276,172501,26987,228,1162657993,7446.96725273362,148.367792625669,23.211469032579,0.196102380384186
Azerbaijan,2022-06-26,793140,155,9717,1,Upper middle income,European Region,10312992,76906.8762973927,942.209593491394,15.0295859824191,0.0969650708543166,129347488,2478330,957143,3218,2519863638,51331.1458800454,983.517505719887,379.839204616516,1.27705323076693,226500728,2050723,2143007,3382,930808880,243337.523810473,2203.1622646316,2302.30614043992,3.63339894221894
Andorra,2022-06-26,43774,325,153,,High income,European Region,79034,553862.89445049,1935.87569906623,4112.15426272237,,337276192,2955127,3445216,6885,1245565549,270781.567674846,2372.51825275074,2765.9853010273,5.52760953088949,226500728,2050723,2143007,3382,930808880,243337.523810473,2203.1622646316,2302.30614043992,3.63339894221894
Bosnia & Herzegovina,2022-06-26,378457,230,15799,3,Upper middle income,European Region,3270943,115702.719368696,4830.10556894449,70.3161137323396,0.917166700856603,129347488,2478330,957143,3218,2519863638,51331.1458800454,983.517505719887,379.839204616516,1.27705323076693,226500728,2050723,2143007,3382,930808880,243337.523810473,2203.1622646316,2302.30614043992,3.63339894221894
Belgium,2022-06-26,4226104,27121,31858,33,High income,European Region,11611419,363961.028363545,2743.67844274675,2335.71796866516,2.8420299017717,337276192,2955127,3445216,6885,1245565549,270781.567674846,2372.51825275074,2765.9853010273,5.52760953088949,226500728,2050723,2143007,3382,930808880,243337.523810473,2203.1622646316,2302.30614043992,3.63339894221894
Bangladesh,2022-06-26,1965173,8846,29140,9,Lower middle income,South-East Asia Region,169356251,11603.7818999666,172.06332702771,52.2330882253647,0.0531424139756141,57949976,784157,145483,230,3396756474,17060.3858249981,230.854642068756,42.8299765124699,0.0677116542679768,58471167,789814,131032,314,2056472695,28432.7465869903,384.062478398236,63.7168683632826,0.152688630762491
Argentina,2022-06-26,9367172,25680,129070,54,Upper middle income,Region of the Americas,45276780,206886.885507317,2850.6885869534,567.178142968648,1.1926643193266,129347488,2478330,957143,3218,2519863638,51331.1458800454,983.517505719887,379.839204616516,1.27705323076693,162333971,2764109,1410857,4761,1026253579,158181.149690295,2693.39767145407,1374.76451129629,4.63920428383714
Saint Barth�lemy,2022-06-26,4697,26,4,,,,,,,,,16188230,102902,40410,36,,,,,,1116926,3876,14358,25,,,,,
Caribbean Netherlands,2022-06-26,10320,71,37,1,,Region of the Americas,26706,386430.015726803,1385.45645173369,2658.57859657006,37.4447689657755,16188230,102902,40410,36,,,,,,162333971,2764109,1410857,4761,1026253579,158181.149690295,2693.39767145407,1374.76451129629,4.63920428383714
