Country,Date,Confirmed Cases,New Cases,Confirmed Deaths,New Deaths,Income,Region,Population,cpm,dpm,new_cases_per_million,new_deaths_per_million,cases_income,deaths_income,new_cases_income,new_deaths_income,income_pop,cpm_income,dpm_income,new_cpm_income,new_dpm_income,cases_region,deaths_region,new_cases_region,new_deaths_region,region_pop,cpm_region,dpm_region,new_cpm_region,new_dpm_region
Armenia,2025-06-29,454410,13,8785,,Upper middle income,European Region,2790974,162814.128687691,3147.64666385283,4.65787212636162,,240634446,2671213,25451,49,2519863638,95495.0269416126,1060.06252073232,10.1001497129425,0.0194454966773087,281068730,2280490,4813,26,930808880,301961.805521237,2450.0088568128,5.17077146921933,0.0279326944109085
Aruba,2025-06-29,44224,,292,,High income,Region of the Americas,106537,415104.611543408,2740.83182368567,,,457442892,3487916,5044,195,1245565549,367257.180778047,2800.2669171448,4.04956608188912,0.156555389763755,193591119,3062768,2852,193,1026253579,188638.678550226,2984.41638857369,2.77904024732273,0.188062681533411
Anguilla,2025-06-29,3904,,12,,,Region of the Americas,15753,247825.810956643,761.759664825748,,,18263896,105690,0,0,,,,,,193591119,3062768,2852,193,1026253579,188638.678550226,2984.41638857369,2.77904024732273,0.188062681533411
Afghanistan,2025-06-29,235214,,7998,,Low income,Eastern Mediterranean Region,40099462,5865.76448332399,199.454047538094,,,1905424,43239,16,0,718255072,2652.8514371563,60.2000621862647,0.0222762088619125,0,23417911,351975,0,0,761408471,30756.0421139575,462.268300663548,0,0
Albania,2025-06-29,337197,,3608,,Upper middle income,European Region,2854710,118119.528778755,1263.87619057628,,,240634446,2671213,25451,49,2519863638,95495.0269416126,1060.06252073232,10.1001497129425,0.0194454966773087,281068730,2280490,4813,26,930808880,301961.805521237,2450.0088568128,5.17077146921933,0.0279326944109085
Austria,2025-06-29,6083149,2,22534,,High income,European Region,8922082,681808.237135682,2525.64367823564,0.224162925200643,,457442892,3487916,5044,195,1245565549,367257.180778047,2800.2669171448,4.04956608188912,0.156555389763755,281068730,2280490,4813,26,930808880,301961.805521237,2450.0088568128,5.17077146921933,0.0279326944109085
United Arab Emirates,2025-06-29,1067030,,2349,,High income,Eastern Mediterranean Region,9365145,113936.303175231,250.823665837528,,,457442892,3487916,5044,195,1245565549,367257.180778047,2800.2669171448,4.04956608188912,0.156555389763755,23417911,351975,0,0,761408471,30756.0421139575,462.268300663548,0,0
Angola,2025-06-29,107487,,1937,,Lower middle income,African Region,34503774,3115.22443892659,56.1387864411586,,,60697662,796806,395,19,3396756474,17869.300453124,234.578488654998,0.11628740624283,0.00559357143952852,9049981,174424,194,0,1162657993,7783.87200233182,150.02176138654,0.166859042958474,0
Antigua & Barbuda,2025-06-29,9106,,146,,High income,Region of the Americas,93219,97683.948551261,1566.20431457106,,,457442892,3487916,5044,195,1245565549,367257.180778047,2800.2669171448,4.04956608188912,0.156555389763755,193591119,3062768,2852,193,1026253579,188638.678550226,2984.41638857369,2.77904024732273,0.188062681533411
Burundi,2025-06-29,54569,,15,,Low income,African Region,12551213,4347.70726940894,1.19510361269465,,,1905424,43239,16,0,718255072,2652.8514371563,60.2000621862647,0.0222762088619125,0,9049981,174424,194,0,1162657993,7783.87200233182,150.02176138654,0.166859042958474,0
Azerbaijan,2025-06-29,836510,,10353,,Upper middle income,European Region,10312992,81112.2514203444,1003.87937855474,,,240634446,2671213,25451,49,2519863638,95495.0269416126,1060.06252073232,10.1001497129425,0.0194454966773087,281068730,2280490,4813,26,930808880,301961.805521237,2450.0088568128,5.17077146921933,0.0279326944109085
Andorra,2025-06-29,48015,,159,,High income,European Region,79034,607523.34438343,2011.79239314725,,,457442892,3487916,5044,195,1245565549,367257.180778047,2800.2669171448,4.04956608188912,0.156555389763755,281068730,2280490,4813,26,930808880,301961.805521237,2450.0088568128,5.17077146921933,0.0279326944109085
