Country,Date,Confirmed Cases,New Cases,Confirmed Deaths,New Deaths,Income,Region,Population,year,cpm,dpm,new_cases_per_million,new_deaths_per_million,cases_income,deaths_income,new_cases_income,new_deaths_income,cpm_income,dpm_income,new_cpm_income,new_dpm_income,cases_region,deaths_region,new_cases_region,new_deaths_region,cpm_region,dpm_region,new_cpm_region,new_dpm_region
Anguilla,2026-08-02,3904,,12,,,Region of the Americas,15753,,247825.810956643,761.759664825748,,,18263907,105690,0,0,,,,,193907114,3077405,643,4,188946.58977847,2998.67894541102,0.626550799098358,0.00389767215613287
Aruba,2026-08-02,44224,,292,,High income,Region of the Americas,106537,,415104.611543408,2740.83182368567,,,457906873,3503611,374,5,367629.687066754,2812.8676189004,0.300265209085355,0.0040142407631732,193907114,3077405,643,4,188946.58977847,2998.67894541102,0.626550799098358,0.00389767215613287
Afghanistan,2026-08-02,235214,,7998,,Low income,Eastern Mediterranean Region,40099462,,5865.76448332399,199.454047538094,,,1905764,43239,0,0,2653.32480659461,60.2000621862647,0,0,23417911,351975,0,0,30756.0421139575,462.268300663548,0,0
United Arab Emirates,2026-08-02,1067030,,2349,,High income,Eastern Mediterranean Region,9365145,,113936.303175231,250.823665837528,,,457906873,3503611,374,5,367629.687066754,2812.8676189004,0.300265209085355,0.0040142407631732,23417911,351975,0,0,30756.0421139575,462.268300663548,0,0
Albania,2026-08-02,337234,,3608,,Upper middle income,European Region,2854710,,118132.489815078,1263.87619057628,,,241066873,2672580,6435,3,95666.6342434836,1060.60501040493,2.55370961466289,0.00119054061289645,281544840,2282861,366,3,302473.30687262,2452.55610367619,0.393206390553558,0.00322300320125867
Armenia,2026-08-02,454903,0,8785,,Upper middle income,European Region,2790974,,162990.769530637,3147.64666385283,0,,241066873,2672580,6435,3,95666.6342434836,1060.60501040493,2.55370961466289,0.00119054061289645,281544840,2282861,366,3,302473.30687262,2452.55610367619,0.393206390553558,0.00322300320125867
Azerbaijan,2026-08-02,836510,,10353,,Upper middle income,European Region,10312992,,81112.2514203444,1003.87937855474,,,241066873,2672580,6435,3,95666.6342434836,1060.60501040493,2.55370961466289,0.00119054061289645,281544840,2282861,366,3,302473.30687262,2452.55610367619,0.393206390553558,0.00322300320125867
Antigua & Barbuda,2026-08-02,9106,,146,,High income,Region of the Americas,93219,,97683.948551261,1566.20431457106,,,457906873,3503611,374,5,367629.687066754,2812.8676189004,0.300265209085355,0.0040142407631732,193907114,3077405,643,4,188946.58977847,2998.67894541102,0.626550799098358,0.00389767215613287
Angola,2026-08-02,107487,,1937,,Lower middle income,African Region,34503774,,3115.22443892659,56.1387864411586,,,60700720,796870,40,0,17870.2007237272,234.597330158794,0.0117759398726916,0,9051407,174424,0,0,7785.09850230738,150.02176138654,0,0
Bangladesh,2026-08-02,2052280,,29531,,Lower middle income,South-East Asia Region,169356251,,12118.1237059859,174.372069679318,,,60700720,796870,40,0,17870.2007237272,234.597330158794,0.0117759398726916,0,62001109,809353,5840,1,30149.2498056241,393.563698641766,2.83981402437245,0.000486269524721309
Austria,2026-08-02,6083793,0,22534,,High income,European Region,8922082,,681880.417597597,2525.64367823564,0,,457906873,3503611,374,5,367629.687066754,2812.8676189004,0.300265209085355,0.0040142407631732,281544840,2282861,366,3,302473.30687262,2452.55610367619,0.393206390553558,0.00322300320125867
Bosnia & Herzegovina,2026-08-02,404289,,16419,,Upper middle income,European Region,3270943,,123600.136107538,5019.65335378819,,,241066873,2672580,6435,3,95666.6342434836,1060.60501040493,2.55370961466289,0.00119054061289645,281544840,2282861,366,3,302473.30687262,2452.55610367619,0.393206390553558,0.00322300320125867
Bahrain,2026-08-02,696614,,1536,,High income,Eastern Mediterranean Region,1463265,,476068.244644682,1049.70733257476,,,457906873,3503611,374,5,367629.687066754,2812.8676189004,0.300265209085355,0.0040142407631732,23417911,351975,0,0,30756.0421139575,462.268300663548,0,0
Andorra,2026-08-02,48015,,159,,High income,European Region,79034,,607523.34438343,2011.79239314725,,,457906873,3503611,374,5,367629.687066754,2812.8676189004,0.300265209085355,0.0040142407631732,281544840,2282861,366,3,302473.30687262,2452.55610367619,0.393206390553558,0.00322300320125867
Saint Barth�lemy,2026-08-02,5507,,5,,,,,,,,,,18263907,105690,0,0,,,,,1310974,4286,0,0,,,,
Bahamas,2026-08-02,39127,,849,,High income,Region of the Americas,407906,,95921.6093903988,2081.36188239447,,,457906873,3503611,374,5,367629.687066754,2812.8676189004,0.300265209085355,0.0040142407631732,193907114,3077405,643,4,188946.58977847,2998.67894541102,0.626550799098358,0.00389767215613287
Burundi,2026-08-02,54569,,15,,Low income,African Region,12551213,,4347.70726940894,1.19510361269465,,,1905764,43239,0,0,2653.32480659461,60.2000621862647,0,0,9051407,174424,0,0,7785.09850230738,150.02176138654,0,0
Bhutan,2026-08-02,62961,,21,,Lower middle income,South-East Asia Region,777486,,80980.2363000749,27.0101326583373,,,60700720,796870,40,0,17870.2007237272,234.597330158794,0.0117759398726916,0,62001109,809353,5840,1,30149.2498056241,393.563698641766,2.83981402437245,0.000486269524721309
Brazil,2026-08-02,38045216,316,704053,0,Upper middle income,Region of the Americas,214326223,,177510.784576277,3284.9596756996,1.47438794738617,0,241066873,2672580,6435,3,95666.6342434836,1060.60501040493,2.55370961466289,0.00119054061289645,193907114,3077405,643,4,188946.58977847,2998.67894541102,0.626550799098358,0.00389767215613287
Argentina,2026-08-02,10119708,10,130857,,Upper middle income,Region of the Americas,45276780,,223507.678770443,2890.1569413726,0.220863762838258,,241066873,2672580,6435,3,95666.6342434836,1060.60501040493,2.55370961466289,0.00119054061289645,193907114,3077405,643,4,188946.58977847,2998.67894541102,0.626550799098358,0.00389767215613287
Belgium,2026-08-02,4908390,7,34339,,High income,European Region,11611419,,422720.943925975,2957.34741808904,0.602854827648542,,457906873,3503611,374,5,367629.687066754,2812.8676189004,0.300265209085355,0.0040142407631732,281544840,2282861,366,3,302473.30687262,2452.55610367619,0.393206390553558,0.00322300320125867
Switzerland,2026-08-02,4492081,12,14170,,High income,European Region,8691406,,516841.693967581,1630.34611431108,1.38067419701715,,457906873,3503611,374,5,367629.687066754,2812.8676189004,0.300265209085355,0.0040142407631732,281544840,2282861,366,3,302473.30687262,2452.55610367619,0.393206390553558,0.00322300320125867
Barbados,2026-08-02,109155,2,593,,High income,Region of the Americas,281200,,388175.675675676,2108.81934566145,7.11237553342817,,457906873,3503611,374,5,367629.687066754,2812.8676189004,0.300265209085355,0.0040142407631732,193907114,3077405,643,4,188946.58977847,2998.67894541102,0.626550799098358,0.00389767215613287
American Samoa,2026-08-02,8359,,34,,High income,Western Pacific Region,45035,,185611.191295659,754.968357943822,,,457906873,3503611,374,5,367629.687066754,2812.8676189004,0.300265209085355,0.0040142407631732,208610782,421686,0,0,108408.157958678,219.136336380557,0,0
Chile,2026-08-02,5410532,1,62893,0,High income,Region of the Americas,19493184,,277560.197451581,3226.40980560179,0.0512999825990459,0,457906873,3503611,374,5,367629.687066754,2812.8676189004,0.300265209085355,0.0040142407631732,193907114,3077405,643,4,188946.58977847,2998.67894541102,0.626550799098358,0.00389767215613287
Canada,2026-08-02,4819055,,55282,,High income,Region of the Americas,38155012,,126302.017674637,1448.87911449222,,,457906873,3503611,374,5,367629.687066754,2812.8676189004,0.300265209085355,0.0040142407631732,193907114,3077405,643,4,188946.58977847,2998.67894541102,0.626550799098358,0.00389767215613287
Caribbean Netherlands,2026-08-02,11922,,41,,,Region of the Americas,26706,,446416.535609975,1535.23552759679,,,18263907,105690,0,0,,,,,193907114,3077405,643,4,188946.58977847,2998.67894541102,0.626550799098358,0.00389767215613287
