Country,Date,Confirmed Cases,New Cases,Confirmed Deaths,New Deaths,Income,Region,Population,cpm,dpm,new_cases_per_million,new_deaths_per_million,cases_income,deaths_income,new_cases_income,new_deaths_income,income_pop,cpm_income,dpm_income,new_cpm_income,new_dpm_income,cases_region,deaths_region,new_cases_region,new_deaths_region,region_pop,cpm_region,dpm_region,new_cpm_region,new_dpm_region
Armenia,2023-12-31,451426,,8775,,Upper middle income,European Region,2790974,161744.967885763,3144.06368529409,,,239369382,2666985,32283,85,2519863638,94992.9902516416,1058.38465216188,12.8114075353787,0.0337319840320661,278362590,2264901,165707,1246,930808880,299054.506226885,2433.26105784466,178.024730490324,1.33862066292277
Anguilla,2023-12-31,3904,,12,,,Region of the Americas,15753,247825.810956643,761.759664825748,,,18263387,105689,57,0,,,,,,193037348,2997317,10588,2393,1026253579,188099.074098333,2920.63975350092,10.3171381972837,2.33178236740649
Aruba,2023-12-31,44224,,292,,High income,Region of the Americas,106537,415104.611543408,2740.83182368567,,,454180078,3407955,227086,3703,1245565549,364637.636585756,2736.07037601198,182.31557558919,2.97294670920607,193037348,2997317,10588,2393,1026253579,188099.074098333,2920.63975350092,10.3171381972837,2.33178236740649
Afghanistan,2023-12-31,230375,300,7973,3,Low income,Eastern Mediterranean Region,40099462,5745.08954758545,198.830597777097,7.48139713196152,0.0748139713196152,1897346,43204,317,3,718255072,2641.60473620714,60.1513329793792,0.441347388076641,0.00417678916160859,23409122,351865,576,11,761408471,30744.4990325042,462.123831559,0.756492765628818,0.014446910454717
Albania,2023-12-31,334596,,3604,,Upper middle income,European Region,2854710,117208.402955116,1262.47499746034,,,239369382,2666985,32283,85,2519863638,94992.9902516416,1058.38465216188,12.8114075353787,0.0337319840320661,278362590,2264901,165707,1246,930808880,299054.506226885,2433.26105784466,178.024730490324,1.33862066292277
Austria,2023-12-31,6082170,46,22534,,High income,European Region,8922082,681698.509383796,2525.64367823564,5.15574727961478,,454180078,3407955,227086,3703,1245565549,364637.636585756,2736.07037601198,182.31557558919,2.97294670920607,278362590,2264901,165707,1246,930808880,299054.506226885,2433.26105784466,178.024730490324,1.33862066292277
United Arab Emirates,2023-12-31,1067030,,2349,,High income,Eastern Mediterranean Region,9365145,113936.303175231,250.823665837528,,,454180078,3407955,227086,3703,1245565549,364637.636585756,2736.07037601198,182.31557558919,2.97294670920607,23409122,351865,576,11,761408471,30744.4990325042,462.123831559,0.756492765628818,0.014446910454717
Angola,2023-12-31,106928,208,1937,0,Lower middle income,African Region,34503774,3099.02331263821,56.1387864411586,6.02832606079555,0,60640948,796289,5903,30,3396756474,17852.6039367755,234.426284632144,1.73783432671247,0.00883195490451871,9032705,174372,2593,2,1162657993,7769.01294652692,149.977036282242,2.23023452779032,0.00172019631915952
Antigua & Barbuda,2023-12-31,9106,,146,,High income,Region of the Americas,93219,97683.948551261,1566.20431457106,,,454180078,3407955,227086,3703,1245565549,364637.636585756,2736.07037601198,182.31557558919,2.97294670920607,193037348,2997317,10588,2393,1026253579,188099.074098333,2920.63975350092,10.3171381972837,2.33178236740649
Burundi,2023-12-31,54461,6,15,0,Low income,African Region,12551213,4339.10252339754,1.19510361269465,0.478041445077858,0,1897346,43204,317,3,718255072,2641.60473620714,60.1513329793792,0.441347388076641,0.00417678916160859,9032705,174372,2593,2,1162657993,7769.01294652692,149.977036282242,2.23023452779032,0.00172019631915952
Azerbaijan,2023-12-31,834254,32,10353,,Upper middle income,European Region,10312992,80893.498220497,1003.87937855474,3.10288226733813,,239369382,2666985,32283,85,2519863638,94992.9902516416,1058.38465216188,12.8114075353787,0.0337319840320661,278362590,2264901,165707,1246,930808880,299054.506226885,2433.26105784466,178.024730490324,1.33862066292277
Andorra,2023-12-31,48015,,159,,High income,European Region,79034,607523.34438343,2011.79239314725,,,454180078,3407955,227086,3703,1245565549,364637.636585756,2736.07037601198,182.31557558919,2.97294670920607,278362590,2264901,165707,1246,930808880,299054.506226885,2433.26105784466,178.024730490324,1.33862066292277
Bosnia & Herzegovina,2023-12-31,403508,19,16380,1,Upper middle income,European Region,3270943,123361.367043082,5007.73018667705,5.80872243875849,0.305722233618868,239369382,2666985,32283,85,2519863638,94992.9902516416,1058.38465216188,12.8114075353787,0.0337319840320661,278362590,2264901,165707,1246,930808880,299054.506226885,2433.26105784466,178.024730490324,1.33862066292277
Belgium,2023-12-31,4848745,2923,34339,,High income,European Region,11611419,417584.190183818,2957.34741808904,251.734951602384,,454180078,3407955,227086,3703,1245565549,364637.636585756,2736.07037601198,182.31557558919,2.97294670920607,278362590,2264901,165707,1246,930808880,299054.506226885,2433.26105784466,178.024730490324,1.33862066292277
Bangladesh,2023-12-31,2046292,85,29477,,Lower middle income,South-East Asia Region,169356251,12082.7662865541,174.053215195464,0.501900576436355,,60640948,796289,5903,30,3396756474,17852.6039367755,234.426284632144,1.73783432671247,0.00883195490451871,61234065,808217,7225,51,2056472695,29776.2596843038,393.011296461682,3.51329731611146,0.0247997457607868
Argentina,2023-12-31,10044957,,130472,,Upper middle income,Region of the Americas,45276780,221856.70005685,2881.65368650333,,,239369382,2666985,32283,85,2519863638,94992.9902516416,1058.38465216188,12.8114075353787,0.0337319840320661,193037348,2997317,10588,2393,1026253579,188099.074098333,2920.63975350092,10.3171381972837,2.33178236740649
Saint Barth�lemy,2023-12-31,5507,,5,,,,,,,,,18263387,105689,57,0,,,,,,1310892,4285,3,1,,,,,
Caribbean Netherlands,2023-12-31,11922,,41,,,Region of the Americas,26706,446416.535609975,1535.23552759679,,,18263387,105689,57,0,,,,,,193037348,2997317,10588,2393,1026253579,188099.074098333,2920.63975350092,10.3171381972837,2.33178236740649
American Samoa,2023-12-31,8359,,34,,High income,Western Pacific Region,45035,185611.191295659,754.968357943822,,,454180078,3407955,227086,3703,1245565549,364637.636585756,2736.07037601198,182.31557558919,2.97294670920607,207964419,419165,78954,117,1924308889,108072.264379588,217.826255647463,41.0297953989236,0.0608010494930474
Bahrain,2023-12-31,696614,,1536,,High income,Eastern Mediterranean Region,1463265,476068.244644682,1049.70733257476,,,454180078,3407955,227086,3703,1245565549,364637.636585756,2736.07037601198,182.31557558919,2.97294670920607,23409122,351865,576,11,761408471,30744.4990325042,462.123831559,0.756492765628818,0.014446910454717
Bhutan,2023-12-31,62697,,21,,Lower middle income,South-East Asia Region,777486,80640.6803466558,27.0101326583373,,,60640948,796289,5903,30,3396756474,17852.6039367755,234.426284632144,1.73783432671247,0.00883195490451871,61234065,808217,7225,51,2056472695,29776.2596843038,393.011296461682,3.51329731611146,0.0247997457607868
Burkina Faso,2023-12-31,22109,,400,,Low income,African Region,22100683,1000.37632321137,18.0989881624925,,,1897346,43204,317,3,718255072,2641.60473620714,60.1513329793792,0.441347388076641,0.00417678916160859,9032705,174372,2593,2,1162657993,7769.01294652692,149.977036282242,2.23023452779032,0.00172019631915952
Australia,2023-12-31,11721535,10734,24344,71,High income,Western Pacific Region,25921089,452200.715795544,939.158073181262,414.102972294104,2.73908245135843,454180078,3407955,227086,3703,1245565549,364637.636585756,2736.07037601198,182.31557558919,2.97294670920607,207964419,419165,78954,117,1924308889,108072.264379588,217.826255647463,41.0297953989236,0.0608010494930474
Bahamas,2023-12-31,38147,9,846,0,High income,Region of the Americas,407906,93519.0950856325,2074.00724676764,22.0639068805068,0,454180078,3407955,227086,3703,1245565549,364637.636585756,2736.07037601198,182.31557558919,2.97294670920607,193037348,2997317,10588,2393,1026253579,188099.074098333,2920.63975350092,10.3171381972837,2.33178236740649
Switzerland,2023-12-31,4446947,2063,14170,1,High income,European Region,8691406,511648.748200234,1630.34611431108,237.360905703864,0.115056183084762,454180078,3407955,227086,3703,1245565549,364637.636585756,2736.07037601198,182.31557558919,2.97294670920607,278362590,2264901,165707,1246,930808880,299054.506226885,2433.26105784466,178.024730490324,1.33862066292277
Benin,2023-12-31,28036,,163,,Lower middle income,African Region,12996895,2157.1306069642,12.5414570172337,,,60640948,796289,5903,30,3396756474,17852.6039367755,234.426284632144,1.73783432671247,0.00883195490451871,9032705,174372,2593,2,1162657993,7769.01294652692,149.977036282242,2.23023452779032,0.00172019631915952
Bulgaria,2023-12-31,1323578,1124,38630,11,High income,European Region,6885868,192216.580393351,5610.04073850966,163.232870569113,1.59747471197531,454180078,3407955,227086,3703,1245565549,364637.636585756,2736.07037601198,182.31557558919,2.97294670920607,278362590,2264901,165707,1246,930808880,299054.506226885,2433.26105784466,178.024730490324,1.33862066292277
Brazil,2023-12-31,37511921,,702116,,Upper middle income,Region of the Americas,214326223,175022.544954753,3275.92205084489,,,239369382,2666985,32283,85,2519863638,94992.9902516416,1058.38465216188,12.8114075353787,0.0337319840320661,193037348,2997317,10588,2393,1026253579,188099.074098333,2920.63975350092,10.3171381972837,2.33178236740649
Chile,2023-12-31,5332977,2478,62227,24,High income,Region of the Americas,19493184,273581.627301112,3192.24401719083,127.121356880436,1.2311995823771,454180078,3407955,227086,3703,1245565549,364637.636585756,2736.07037601198,182.31557558919,2.97294670920607,193037348,2997317,10588,2393,1026253579,188099.074098333,2920.63975350092,10.3171381972837,2.33178236740649
Belarus,2023-12-31,994037,,7118,,Upper middle income,European Region,9578167,103781.5481814,743.148454187529,,,239369382,2666985,32283,85,2519863638,94992.9902516416,1058.38465216188,12.8114075353787,0.0337319840320661,278362590,2264901,165707,1246,930808880,299054.506226885,2433.26105784466,178.024730490324,1.33862066292277
Bermuda,2023-12-31,18860,,165,,High income,Region of the Americas,64185,293838.124172314,2570.6940874036,,,454180078,3407955,227086,3703,1245565549,364637.636585756,2736.07037601198,182.31557558919,2.97294670920607,193037348,2997317,10588,2393,1026253579,188099.074098333,2920.63975350092,10.3171381972837,2.33178236740649
Barbados,2023-12-31,107794,,593,,High income,Region of the Americas,281200,383335.704125178,2108.81934566145,,,454180078,3407955,227086,3703,1245565549,364637.636585756,2736.07037601198,182.31557558919,2.97294670920607,193037348,2997317,10588,2393,1026253579,188099.074098333,2920.63975350092,10.3171381972837,2.33178236740649
