Country,Date,Confirmed Cases,New Cases,Confirmed Deaths,New Deaths,Income,Region,Population,cpm,dpm,new_cases_per_million,new_deaths_per_million,cases_income,deaths_income,new_cases_income,new_deaths_income,income_pop,cpm_income,dpm_income,new_cpm_income,new_dpm_income,cases_region,deaths_region,new_cases_region,new_deaths_region,region_pop,cpm_region,dpm_region,new_cpm_region,new_dpm_region
Armenia,2026-06-28,454903,0,8785,,Upper middle income,European Region,2790974,162990.769530637,3147.64666385283,0,,241029674,2672546,4675,2,2519863638,95651.8719367306,1060.59151761132,1.85525912176364,0.000793693741930967,281546967,2282863,386,1,930808880,302475.59198189,2452.55825234499,0.414693078561949,0.00107433440041956
Anguilla,2026-06-28,3904,,12,,,Region of the Americas,15753,247825.810956643,761.759664825748,,,18263907,105690,0,0,,,,,,193902043,3077255,1914,37,1026253579,188941.648504594,2998.53278270516,1.86503612670958,0.036053467444229
Aruba,2026-06-28,44224,,292,,High income,Region of the Americas,106537,415104.611543408,2740.83182368567,,,457908874,3503494,464,36,1245565549,367631.293565908,2812.77368566654,0.372521542822473,0.028902533494847,193902043,3077255,1914,37,1026253579,188941.648504594,2998.53278270516,1.86503612670958,0.036053467444229
Afghanistan,2026-06-28,235214,,7998,,Low income,Eastern Mediterranean Region,40099462,5865.76448332399,199.454047538094,,,1905764,43239,0,0,718255072,2653.32480659461,60.2000621862647,0,0,23417911,351975,0,0,761408471,30756.0421139575,462.268300663548,0,0
Austria,2026-06-28,6083791,0,22534,,High income,European Region,8922082,681880.193434671,2525.64367823564,0,,457908874,3503494,464,36,1245565549,367631.293565908,2812.77368566654,0.372521542822473,0.028902533494847,281546967,2282863,386,1,930808880,302475.59198189,2452.55825234499,0.414693078561949,0.00107433440041956
Albania,2026-06-28,337234,,3608,,Upper middle income,European Region,2854710,118132.489815078,1263.87619057628,,,241029674,2672546,4675,2,2519863638,95651.8719367306,1060.59151761132,1.85525912176364,0.000793693741930967,281546967,2282863,386,1,930808880,302475.59198189,2452.55825234499,0.414693078561949,0.00107433440041956
United Arab Emirates,2026-06-28,1067030,,2349,,High income,Eastern Mediterranean Region,9365145,113936.303175231,250.823665837528,,,457908874,3503494,464,36,1245565549,367631.293565908,2812.77368566654,0.372521542822473,0.028902533494847,23417911,351975,0,0,761408471,30756.0421139575,462.268300663548,0,0
Angola,2026-06-28,107487,,1937,,Lower middle income,African Region,34503774,3115.22443892659,56.1387864411586,,,60700553,796870,35,0,3396756474,17870.1515591783,234.597330158794,0.0103039473886052,0,9051407,174424,0,0,1162657993,7785.09850230738,150.02176138654,0,0
Antigua & Barbuda,2026-06-28,9106,,146,,High income,Region of the Americas,93219,97683.948551261,1566.20431457106,,,457908874,3503494,464,36,1245565549,367631.293565908,2812.77368566654,0.372521542822473,0.028902533494847,193902043,3077255,1914,37,1026253579,188941.648504594,2998.53278270516,1.86503612670958,0.036053467444229
Burundi,2026-06-28,54569,,15,,Low income,African Region,12551213,4347.70726940894,1.19510361269465,,,1905764,43239,0,0,718255072,2653.32480659461,60.2000621862647,0,0,9051407,174424,0,0,1162657993,7785.09850230738,150.02176138654,0,0
Azerbaijan,2026-06-28,836510,,10353,,Upper middle income,European Region,10312992,81112.2514203444,1003.87937855474,,,241029674,2672546,4675,2,2519863638,95651.8719367306,1060.59151761132,1.85525912176364,0.000793693741930967,281546967,2282863,386,1,930808880,302475.59198189,2452.55825234499,0.414693078561949,0.00107433440041956
Andorra,2026-06-28,48015,,159,,High income,European Region,79034,607523.34438343,2011.79239314725,,,457908874,3503494,464,36,1245565549,367631.293565908,2812.77368566654,0.372521542822473,0.028902533494847,281546967,2282863,386,1,930808880,302475.59198189,2452.55825234499,0.414693078561949,0.00107433440041956
Bosnia & Herzegovina,2026-06-28,404289,,16419,,Upper middle income,European Region,3270943,123600.136107538,5019.65335378819,,,241029674,2672546,4675,2,2519863638,95651.8719367306,1060.59151761132,1.85525912176364,0.000793693741930967,281546967,2282863,386,1,930808880,302475.59198189,2452.55825234499,0.414693078561949,0.00107433440041956
Belgium,2026-06-28,4908353,10,34339,,High income,European Region,11611419,422717.7574076,2957.34741808904,0.861221182355059,,457908874,3503494,464,36,1245565549,367631.293565908,2812.77368566654,0.372521542822473,0.028902533494847,281546967,2282863,386,1,930808880,302475.59198189,2452.55825234499,0.414693078561949,0.00107433440041956
Bangladesh,2026-06-28,2052280,,29531,,Lower middle income,South-East Asia Region,169356251,12118.1237059859,174.372069679318,,,60700553,796870,35,0,3396756474,17870.1515591783,234.597330158794,0.0103039473886052,0,61968688,809350,2874,0,2056472695,30133.4844613631,393.562239833192,1.39753861404904,0
Argentina,2026-06-28,10119586,18,130855,,Upper middle income,Region of the Americas,45276780,223504.984232536,2890.11276862003,0.397554773108865,,241029674,2672546,4675,2,2519863638,95651.8719367306,1060.59151761132,1.85525912176364,0.000793693741930967,193902043,3077255,1914,37,1026253579,188941.648504594,2998.53278270516,1.86503612670958,0.036053467444229
Saint Barth�lemy,2026-06-28,5507,,5,,,,,,,,,18263907,105690,0,0,,,,,,1310974,4286,0,0,,,,,
American Samoa,2026-06-28,8359,,34,,High income,Western Pacific Region,45035,185611.191295659,754.968357943822,,,457908874,3503494,464,36,1245565549,367631.293565908,2812.77368566654,0.372521542822473,0.028902533494847,208610782,421686,0,0,1924308889,108408.157958678,219.136336380557,0,0
Caribbean Netherlands,2026-06-28,11922,,41,,,Region of the Americas,26706,446416.535609975,1535.23552759679,,,18263907,105690,0,0,,,,,,193902043,3077255,1914,37,1026253579,188941.648504594,2998.53278270516,1.86503612670958,0.036053467444229
Bahrain,2026-06-28,696614,,1536,,High income,Eastern Mediterranean Region,1463265,476068.244644682,1049.70733257476,,,457908874,3503494,464,36,1245565549,367631.293565908,2812.77368566654,0.372521542822473,0.028902533494847,23417911,351975,0,0,761408471,30756.0421139575,462.268300663548,0,0
Bhutan,2026-06-28,62961,4,21,,Lower middle income,South-East Asia Region,777486,80980.2363000749,27.0101326583373,5.14478717301662,,60700553,796870,35,0,3396756474,17870.1515591783,234.597330158794,0.0103039473886052,0,61968688,809350,2874,0,2056472695,30133.4844613631,393.562239833192,1.39753861404904,0
Burkina Faso,2026-06-28,22231,,400,,Low income,African Region,22100683,1005.89651460093,18.0989881624925,,,1905764,43239,0,0,718255072,2653.32480659461,60.2000621862647,0,0,9051407,174424,0,0,1162657993,7785.09850230738,150.02176138654,0,0
Australia,2026-06-28,11861161,,25236,,High income,Western Pacific Region,25921089,457587.295039958,973.570207640582,,,457908874,3503494,464,36,1245565549,367631.293565908,2812.77368566654,0.372521542822473,0.028902533494847,208610782,421686,0,0,1924308889,108408.157958678,219.136336380557,0,0
Bahamas,2026-06-28,39127,,849,,High income,Region of the Americas,407906,95921.6093903988,2081.36188239447,,,457908874,3503494,464,36,1245565549,367631.293565908,2812.77368566654,0.372521542822473,0.028902533494847,193902043,3077255,1914,37,1026253579,188941.648504594,2998.53278270516,1.86503612670958,0.036053467444229
Switzerland,2026-06-28,4492019,15,14170,,High income,European Region,8691406,516834.56048423,1630.34611431108,1.72584274627143,,457908874,3503494,464,36,1245565549,367631.293565908,2812.77368566654,0.372521542822473,0.028902533494847,281546967,2282863,386,1,930808880,302475.59198189,2452.55825234499,0.414693078561949,0.00107433440041956
Benin,2026-06-28,28036,,163,,Lower middle income,African Region,12996895,2157.1306069642,12.5414570172337,,,60700553,796870,35,0,3396756474,17870.1515591783,234.597330158794,0.0103039473886052,0,9051407,174424,0,0,1162657993,7785.09850230738,150.02176138654,0,0
