Country,Date,Confirmed Cases,New Cases,Confirmed Deaths,New Deaths,Income,Region,Population,cpm,dpm,new_cases_per_million,new_deaths_per_million,cases_income,deaths_income,new_cases_income,new_deaths_income,income_pop,cpm_income,dpm_income,new_cpm_income,new_dpm_income,cases_region,deaths_region,new_cases_region,new_deaths_region,region_pop,cpm_region,dpm_region,new_cpm_region,new_dpm_region
Aruba,2020-03-29,46,41,0,,High income,Region of the Americas,106537,431.774876334044,0,384.842824558604,,535251,31485,310399,20574,1245565549,429.725276545843,25.2776740857016,249.203263729639,16.5177978923051,146046,2533,109209,2068,1026253579,142.309856928645,2.46820089287114,106.415219624779,2.01509650472069
Armenia,2020-03-29,424,234,1,1,Upper middle income,European Region,2790974,151.918290890564,0.358297855873971,83.8416982745092,0.358297855873971,141016,6513,30745,1503,2519863638,55.9617583560686,2.58466367059819,12.2010570478338,0.596460847061122,391225,29225,210983,18832,930808880,420.306475804141,31.3974228522616,226.66629480372,20.2318654287011
Anguilla,2020-03-29,2,2,0,,,Region of the Americas,15753,126.959944137625,0,126.959944137625,,8641,124,6780,94,,,,,,146046,2533,109209,2068,1026253579,142.309856928645,2.46820089287114,106.415219624779,2.01509650472069
Afghanistan,2020-03-29,91,67,2,2,Low income,Eastern Mediterranean Region,40099462,2.26935713002833,0.0498759808797435,1.67084535947141,0.0498759808797435,612,19,437,12,718255072,0.852064988968153,0.0264529980235211,0.608418954540985,0.0167071566464344,42392,2661,18682,1064,761408471,55.6757661814876,3.49483897454564,24.536107374093,1.3974102476199
Austria,2020-03-29,4946,3814,66,51,High income,European Region,8922082,554.354914021189,7.39737653162121,427.478698357626,5.71615459261639,535251,31485,310399,20574,1245565549,429.725276545843,25.2776740857016,249.203263729639,16.5177978923051,391225,29225,210983,18832,930808880,420.306475804141,31.3974228522616,226.66629480372,20.2318654287011
United Arab Emirates,2020-03-29,468,315,2,,High income,Eastern Mediterranean Region,9365145,49.9725311247183,0.213557825319309,33.6353574877912,,535251,31485,310399,20574,1245565549,429.725276545843,25.2776740857016,249.203263729639,16.5177978923051,42392,2661,18682,1064,761408471,55.6757661814876,3.49483897454564,24.536107374093,1.3974102476199
Albania,2020-03-29,186,116,8,6,Upper middle income,European Region,2854710,65.1554798911273,2.80238623187644,40.6346003622084,2.10178967390733,141016,6513,30745,1503,2519863638,55.9617583560686,2.58466367059819,12.2010570478338,0.596460847061122,391225,29225,210983,18832,930808880,420.306475804141,31.3974228522616,226.66629480372,20.2318654287011
Angola,2020-03-29,0,,0,,Lower middle income,African Region,34503774,0,0,,,5257,141,3344,110,3396756474,1.5476528977685,0.041510188051238,0.98446857335702,0.032383834649902,3105,70,2280,58,1162657993,2.67060478549516,0.0602068711705834,1.96102380384186,0.0498856932556262
Burundi,2020-03-29,0,,0,,Low income,African Region,12551213,0,0,,,612,19,437,12,718255072,0.852064988968153,0.0264529980235211,0.608418954540985,0.0167071566464344,3105,70,2280,58,1162657993,2.67060478549516,0.0602068711705834,1.96102380384186,0.0498856932556262
Antigua & Barbuda,2020-03-29,7,6,0,,High income,Region of the Americas,93219,75.091987684914,0,64.3645608727834,,535251,31485,310399,20574,1245565549,429.725276545843,25.2776740857016,249.203263729639,16.5177978923051,146046,2533,109209,2068,1026253579,142.309856928645,2.46820089287114,106.415219624779,2.01509650472069
Azerbaijan,2020-03-29,147,94,3,2,Upper middle income,European Region,10312992,14.2538654155845,0.29089521256295,9.11471666030576,0.193930141708633,141016,6513,30745,1503,2519863638,55.9617583560686,2.58466367059819,12.2010570478338,0.596460847061122,391225,29225,210983,18832,930808880,420.306475804141,31.3974228522616,226.66629480372,20.2318654287011
Andorra,2020-03-29,341,208,6,5,High income,European Region,79034,4314.59878027178,75.9166940810284,2631.77872814232,63.2639117341904,535251,31485,310399,20574,1245565549,429.725276545843,25.2776740857016,249.203263729639,16.5177978923051,391225,29225,210983,18832,930808880,420.306475804141,31.3974228522616,226.66629480372,20.2318654287011
Bosnia & Herzegovina,2020-03-29,318,193,6,5,Upper middle income,European Region,3270943,97.2196702907999,1.83433340171321,59.0043910884415,1.52861116809434,141016,6513,30745,1503,2519863638,55.9617583560686,2.58466367059819,12.2010570478338,0.596460847061122,391225,29225,210983,18832,930808880,420.306475804141,31.3974228522616,226.66629480372,20.2318654287011
Belgium,2020-03-29,12031,7558,751,602,High income,European Region,11611419,1036.13520449137,64.677710794865,650.910969623954,51.8455151777746,535251,31485,310399,20574,1245565549,429.725276545843,25.2776740857016,249.203263729639,16.5177978923051,391225,29225,210983,18832,930808880,420.306475804141,31.3974228522616,226.66629480372,20.2318654287011
Bangladesh,2020-03-29,48,24,5,4,Lower middle income,South-East Asia Region,169356251,0.283426207869942,0.0295235633197856,0.141713103934971,0.0236188506558285,5257,141,3344,110,3396756474,1.5476528977685,0.041510188051238,0.98446857335702,0.032383834649902,3848,152,2252,95,2056472695,1.8711651311276,0.073912967757639,1.09507896967239,0.0461956048485244
Argentina,2020-03-29,1282,746,70,50,Upper middle income,Region of the Americas,45276780,28.3147343958647,1.54604633986781,16.4764367077341,1.10431881419129,141016,6513,30745,1503,2519863638,55.9617583560686,2.58466367059819,12.2010570478338,0.596460847061122,146046,2533,109209,2068,1026253579,142.309856928645,2.46820089287114,106.415219624779,2.01509650472069
Saint Barth�lemy,2020-03-29,5,2,0,,,,,,,,,8641,124,6780,94,,,,,,1537,15,465,7,,,,,
Caribbean Netherlands,2020-03-29,0,,0,,,Region of the Americas,26706,0,0,,,8641,124,6780,94,,,,,,146046,2533,109209,2068,1026253579,142.309856928645,2.46820089287114,106.415219624779,2.01509650472069
American Samoa,2020-03-29,0,0,0,0,High income,Western Pacific Region,45035,0,0,0,0,535251,31485,310399,20574,1245565549,429.725276545843,25.2776740857016,249.203263729639,16.5177978923051,102624,3626,7834,169,1924308889,53.3303154117478,1.88431286719478,4.07107198058575,0.087823738156624
Bahrain,2020-03-29,476,165,4,3,High income,Eastern Mediterranean Region,1463265,325.299928584364,2.73361284524676,112.761529866429,2.05020963393507,535251,31485,310399,20574,1245565549,429.725276545843,25.2776740857016,249.203263729639,16.5177978923051,42392,2661,18682,1064,761408471,55.6757661814876,3.49483897454564,24.536107374093,1.3974102476199
Bhutan,2020-03-29,3,1,0,0,Lower middle income,South-East Asia Region,777486,3.85859037976247,0,1.28619679325416,0,5257,141,3344,110,3396756474,1.5476528977685,0.041510188051238,0.98446857335702,0.032383834649902,3848,152,2252,95,2056472695,1.8711651311276,0.073912967757639,1.09507896967239,0.0461956048485244
Burkina Faso,2020-03-29,222,147,15,9,Low income,African Region,22100683,10.0449384301834,0.67871205609347,6.65137814971601,0.407227233656082,612,19,437,12,718255072,0.852064988968153,0.0264529980235211,0.608418954540985,0.0167071566464344,3105,70,2280,58,1162657993,2.67060478549516,0.0602068711705834,1.96102380384186,0.0498856932556262
Australia,2020-03-29,3809,2728,16,7,High income,Western Pacific Region,25921089,146.945986721468,0.617258017207533,105.242491933884,0.270050382528296,535251,31485,310399,20574,1245565549,429.725276545843,25.2776740857016,249.203263729639,16.5177978923051,102624,3626,7834,169,1924308889,53.3303154117478,1.88431286719478,4.07107198058575,0.087823738156624
Bahamas,2020-03-29,9,5,0,,High income,Region of the Americas,407906,22.0639068805068,0,12.257726044726,,535251,31485,310399,20574,1245565549,429.725276545843,25.2776740857016,249.203263729639,16.5177978923051,146046,2533,109209,2068,1026253579,142.309856928645,2.46820089287114,106.415219624779,2.01509650472069
Switzerland,2020-03-29,16170,7460,335,226,High income,European Region,8691406,1860.4584804806,38.5438213333953,858.319125812325,26.0026973771562,535251,31485,310399,20574,1245565549,429.725276545843,25.2776740857016,249.203263729639,16.5177978923051,391225,29225,210983,18832,930808880,420.306475804141,31.3974228522616,226.66629480372,20.2318654287011
Benin,2020-03-29,3,1,0,,Lower middle income,African Region,12996895,0.230824362280375,0,0.0769414540934585,,5257,141,3344,110,3396756474,1.5476528977685,0.041510188051238,0.98446857335702,0.032383834649902,3105,70,2280,58,1162657993,2.67060478549516,0.0602068711705834,1.96102380384186,0.0498856932556262
Bulgaria,2020-03-29,346,161,8,5,High income,European Region,6885868,50.2478409403143,1.1617997905275,23.3812207843659,0.726124869079686,535251,31485,310399,20574,1245565549,429.725276545843,25.2776740857016,249.203263729639,16.5177978923051,391225,29225,210983,18832,930808880,420.306475804141,31.3974228522616,226.66629480372,20.2318654287011
Brazil,2020-03-29,3417,2513,92,81,Upper middle income,Region of the Americas,214326223,15.9429861272738,0.429252187213694,11.7251168094349,0.377928556133796,141016,6513,30745,1503,2519863638,55.9617583560686,2.58466367059819,12.2010570478338,0.596460847061122,146046,2533,109209,2068,1026253579,142.309856928645,2.46820089287114,106.415219624779,2.01509650472069
Chile,2020-03-29,1909,1372,6,6,High income,Region of the Americas,19493184,97.9316667815786,0.307799895594275,70.383576125891,0.307799895594275,535251,31485,310399,20574,1245565549,429.725276545843,25.2776740857016,249.203263729639,16.5177978923051,146046,2533,109209,2068,1026253579,142.309856928645,2.46820089287114,106.415219624779,2.01509650472069
Belarus,2020-03-29,94,18,0,,Upper middle income,European Region,9578167,9.81398632953466,0,1.879273977996,,141016,6513,30745,1503,2519863638,55.9617583560686,2.58466367059819,12.2010570478338,0.596460847061122,391225,29225,210983,18832,930808880,420.306475804141,31.3974228522616,226.66629480372,20.2318654287011
Bermuda,2020-03-29,17,15,0,,High income,Region of the Americas,64185,264.859390823401,0,233.699462491236,,535251,31485,310399,20574,1245565549,429.725276545843,25.2776740857016,249.203263729639,16.5177978923051,146046,2533,109209,2068,1026253579,142.309856928645,2.46820089287114,106.415219624779,2.01509650472069
Barbados,2020-03-29,24,19,0,,High income,Region of the Americas,281200,85.348506401138,0,67.5675675675676,,535251,31485,310399,20574,1245565549,429.725276545843,25.2776740857016,249.203263729639,16.5177978923051,146046,2533,109209,2068,1026253579,142.309856928645,2.46820089287114,106.415219624779,2.01509650472069
China,2020-03-29,82341,843,3306,39,Upper middle income,Western Pacific Region,1425893465,57.7469509617256,2.31854628774808,0.591208263935763,0.0273512719970282,141016,6513,30745,1503,2519863638,55.9617583560686,2.58466367059819,12.2010570478338,0.596460847061122,102624,3626,7834,169,1924308889,53.3303154117478,1.88431286719478,4.07107198058575,0.087823738156624
Belize,2020-03-29,2,2,0,,Upper middle income,Region of the Americas,400031,4.99961253002892,0,4.99961253002892,,141016,6513,30745,1503,2519863638,55.9617583560686,2.58466367059819,12.2010570478338,0.596460847061122,146046,2533,109209,2068,1026253579,142.309856928645,2.46820089287114,106.415219624779,2.01509650472069
Brunei,2020-03-29,120,37,1,1,High income,Western Pacific Region,445373,269.437078583569,2.24530898819641,83.0764325632672,2.24530898819641,535251,31485,310399,20574,1245565549,429.725276545843,25.2776740857016,249.203263729639,16.5177978923051,102624,3626,7834,169,1924308889,53.3303154117478,1.88431286719478,4.07107198058575,0.087823738156624
Canada,2020-03-29,4675,3704,35,24,High income,Region of the Americas,38155012,122.526497960478,0.917310679918014,97.077678811895,0.629013037658067,535251,31485,310399,20574,1245565549,429.725276545843,25.2776740857016,249.203263729639,16.5177978923051,146046,2533,109209,2068,1026253579,142.309856928645,2.46820089287114,106.415219624779,2.01509650472069
Côte d’Ivoire,2020-03-29,178,116,0,,Lower middle income,African Region,27478249,6.47785089945142,0,4.22152081087845,,5257,141,3344,110,3396756474,1.5476528977685,0.041510188051238,0.98446857335702,0.032383834649902,3105,70,2280,58,1162657993,2.67060478549516,0.0602068711705834,1.96102380384186,0.0498856932556262
Bolivia,2020-03-29,90,71,0,,Lower middle income,Region of the Americas,12079472,7.45065678367399,0,5.87774035156504,,5257,141,3344,110,3396756474,1.5476528977685,0.041510188051238,0.98446857335702,0.032383834649902,146046,2533,109209,2068,1026253579,142.309856928645,2.46820089287114,106.415219624779,2.01509650472069
Congo - Kinshasa,2020-03-29,65,35,0,,Low income,African Region,95894118,0.677830938494059,0,0.364985889958339,,612,19,437,12,718255072,0.852064988968153,0.0264529980235211,0.608418954540985,0.0167071566464344,3105,70,2280,58,1162657993,2.67060478549516,0.0602068711705834,1.96102380384186,0.0498856932556262
Cook Islands,2020-03-29,0,0,0,0,,Western Pacific Region,17003,0,0,0,0,8641,124,6780,94,,,,,,102624,3626,7834,169,1924308889,53.3303154117478,1.88431286719478,4.07107198058575,0.087823738156624
Cameroon,2020-03-29,90,64,6,6,Lower middle income,African Region,27198628,3.30899043878243,0.220599362585495,2.35305986757861,0.220599362585495,5257,141,3344,110,3396756474,1.5476528977685,0.041510188051238,0.98446857335702,0.032383834649902,3105,70,2280,58,1162657993,2.67060478549516,0.0602068711705834,1.96102380384186,0.0498856932556262
Botswana,2020-03-29,0,,1,1,Upper middle income,African Region,2588423,0,0.386335618250958,,0.386335618250958,141016,6513,30745,1503,2519863638,55.9617583560686,2.58466367059819,12.2010570478338,0.596460847061122,3105,70,2280,58,1162657993,2.67060478549516,0.0602068711705834,1.96102380384186,0.0498856932556262
Djibouti,2020-03-29,15,14,0,,Lower middle income,Eastern Mediterranean Region,1105557,13.567821469178,0,12.6633000378994,,5257,141,3344,110,3396756474,1.5476528977685,0.041510188051238,0.98446857335702,0.032383834649902,42392,2661,18682,1064,761408471,55.6757661814876,3.49483897454564,24.536107374093,1.3974102476199
Colombia,2020-03-29,723,527,6,6,Upper middle income,Region of the Americas,51516562,14.0343216226269,0.1164673993579,10.2297199102689,0.1164673993579,141016,6513,30745,1503,2519863638,55.9617583560686,2.58466367059819,12.2010570478338,0.596460847061122,146046,2533,109209,2068,1026253579,142.309856928645,2.46820089287114,106.415219624779,2.01509650472069
Cuba,2020-03-29,119,103,3,2,Upper middle income,Region of the Americas,11256372,10.5717899159694,0.266515712167295,9.15037278441047,0.177677141444863,141016,6513,30745,1503,2519863638,55.9617583560686,2.58466367059819,12.2010570478338,0.596460847061122,146046,2533,109209,2068,1026253579,142.309856928645,2.46820089287114,106.415219624779,2.01509650472069
Central African Republic,2020-03-29,13,6,0,,Low income,African Region,5457154,2.38219408871364,0,1.09947419479091,,612,19,437,12,718255072,0.852064988968153,0.0264529980235211,0.608418954540985,0.0167071566464344,3105,70,2280,58,1162657993,2.67060478549516,0.0602068711705834,1.96102380384186,0.0498856932556262
Denmark,2020-03-29,2201,875,65,44,High income,European Region,5854240,375.966820629151,11.1030637623329,149.464319877559,7.51592008527153,535251,31485,310399,20574,1245565549,429.725276545843,25.2776740857016,249.203263729639,16.5177978923051,391225,29225,210983,18832,930808880,420.306475804141,31.3974228522616,226.66629480372,20.2318654287011
Comoros,2020-03-29,0,,0,,Lower middle income,African Region,821625,0,0,,,5257,141,3344,110,3396756474,1.5476528977685,0.041510188051238,0.98446857335702,0.032383834649902,3105,70,2280,58,1162657993,2.67060478549516,0.0602068711705834,1.96102380384186,0.0498856932556262
Ecuador,2020-03-29,1823,1317,48,41,Upper middle income,Region of the Americas,17797737,102.428752599277,2.69697209257559,73.9981717900428,2.30366366240832,141016,6513,30745,1503,2519863638,55.9617583560686,2.58466367059819,12.2010570478338,0.596460847061122,146046,2533,109209,2068,1026253579,142.309856928645,2.46820089287114,106.415219624779,2.01509650472069
Congo - Brazzaville,2020-03-29,19,16,0,,Lower middle income,African Region,5835806,3.25576278580885,0,2.74169497752324,,5257,141,3344,110,3396756474,1.5476528977685,0.041510188051238,0.98446857335702,0.032383834649902,3105,70,2280,58,1162657993,2.67060478549516,0.0602068711705834,1.96102380384186,0.0498856932556262
Algeria,2020-03-29,454,315,30,30,Upper middle income,African Region,44177969,10.2766154777283,0.679071507338873,7.13025082705817,0.679071507338873,141016,6513,30745,1503,2519863638,55.9617583560686,2.58466367059819,12.2010570478338,0.596460847061122,3105,70,2280,58,1162657993,2.67060478549516,0.0602068711705834,1.96102380384186,0.0498856932556262
Costa Rica,2020-03-29,263,150,2,,High income,Region of the Americas,5153957,51.0287532472623,0.388051355492489,29.1038516619367,,535251,31485,310399,20574,1245565549,429.725276545843,25.2776740857016,249.203263729639,16.5177978923051,146046,2533,109209,2068,1026253579,142.309856928645,2.46820089287114,106.415219624779,2.01509650472069
Egypt,2020-03-29,576,282,36,26,Lower middle income,Eastern Mediterranean Region,109262178,5.27172357849209,0.329482723655756,2.58094800197009,0.23795974486249,5257,141,3344,110,3396756474,1.5476528977685,0.041510188051238,0.98446857335702,0.032383834649902,42392,2661,18682,1064,761408471,55.6757661814876,3.49483897454564,24.536107374093,1.3974102476199
Cape Verde,2020-03-29,5,2,0,,Upper middle income,African Region,587925,8.50448611642642,0,3.40179444657057,,141016,6513,30745,1503,2519863638,55.9617583560686,2.58466367059819,12.2010570478338,0.596460847061122,3105,70,2280,58,1162657993,2.67060478549516,0.0602068711705834,1.96102380384186,0.0498856932556262
France,2020-03-29,16,,2712,1999,High income,European Region,64531444,0.247941143235536,42.0260237784234,,30.9771465829898,535251,31485,310399,20574,1245565549,429.725276545843,25.2776740857016,249.203263729639,16.5177978923051,391225,29225,210983,18832,930808880,420.306475804141,31.3974228522616,226.66629480372,20.2318654287011
Cura�ao,2020-03-29,7,4,1,,,Region of the Americas,,,,,,8641,124,6780,94,,,,,,146046,2533,109209,2068,1026253579,142.309856928645,2.46820089287114,106.415219624779,2.01509650472069
Estonia,2020-03-29,5955,5570,73,73,High income,European Region,1328701,4481.82096649284,54.9408783465957,4192.06427932244,54.9408783465957,535251,31485,310399,20574,1245565549,429.725276545843,25.2776740857016,249.203263729639,16.5177978923051,391225,29225,210983,18832,930808880,420.306475804141,31.3974228522616,226.66629480372,20.2318654287011
Micronesia (Federated States of),2020-03-29,0,0,0,0,Upper middle income,Western Pacific Region,113131,0,0,0,0,141016,6513,30745,1503,2519863638,55.9617583560686,2.58466367059819,12.2010570478338,0.596460847061122,102624,3626,7834,169,1924308889,53.3303154117478,1.88431286719478,4.07107198058575,0.087823738156624
Cyprus,2020-03-29,179,95,5,5,High income,European Region,1244188,143.868932990834,4.01868527907358,76.355020302398,4.01868527907358,535251,31485,310399,20574,1245565549,429.725276545843,25.2776740857016,249.203263729639,16.5177978923051,391225,29225,210983,18832,930808880,420.306475804141,31.3974228522616,226.66629480372,20.2318654287011
Cayman Islands,2020-03-29,8,5,1,,High income,Region of the Americas,68136,117.41223435482,14.6765292943525,73.3826464717624,,535251,31485,310399,20574,1245565549,429.725276545843,25.2776740857016,249.203263729639,16.5177978923051,146046,2533,109209,2068,1026253579,142.309856928645,2.46820089287114,106.415219624779,2.01509650472069
Fiji,2020-03-29,5,3,0,0,Upper middle income,Western Pacific Region,924610,5.40768540249403,0,3.24461124149641,0,141016,6513,30745,1503,2519863638,55.9617583560686,2.58466367059819,12.2010570478338,0.596460847061122,102624,3626,7834,169,1924308889,53.3303154117478,1.88431286719478,4.07107198058575,0.087823738156624
Greece,2020-03-29,1332,538,42,25,High income,European Region,10445365,127.52067543834,4.02092219850623,51.5060986380084,2.39340607053942,535251,31485,310399,20574,1245565549,429.725276545843,25.2776740857016,249.203263729639,16.5177978923051,391225,29225,210983,18832,930808880,420.306475804141,31.3974228522616,226.66629480372,20.2318654287011
Czechia,2020-03-29,2683,1624,17,17,High income,European Region,10510751,255.262445090746,1.61739156412325,154.508464713892,1.61739156412325,535251,31485,310399,20574,1245565549,429.725276545843,25.2776740857016,249.203263729639,16.5177978923051,391225,29225,210983,18832,930808880,420.306475804141,31.3974228522616,226.66629480372,20.2318654287011
Germany,2020-03-29,63904,33981,2045,1459,High income,European Region,83408554,766.156430430385,24.5178689945878,407.404257361901,17.4922106910042,535251,31485,310399,20574,1245565549,429.725276545843,25.2776740857016,249.203263729639,16.5177978923051,391225,29225,210983,18832,930808880,420.306475804141,31.3974228522616,226.66629480372,20.2318654287011
Faroe Islands,2020-03-29,156,56,0,,High income,,52889,2949.57363534951,0,1058.82130499726,,535251,31485,310399,20574,1245565549,429.725276545843,25.2776740857016,249.203263729639,16.5177978923051,1537,15,465,7,,,,,
Grenada,2020-03-29,7,7,0,,Upper middle income,Region of the Americas,124610,56.1752668325175,0,56.1752668325175,,141016,6513,30745,1503,2519863638,55.9617583560686,2.58466367059819,12.2010570478338,0.596460847061122,146046,2533,109209,2068,1026253579,142.309856928645,2.46820089287114,106.415219624779,2.01509650472069
Eritrea,2020-03-29,6,5,0,,Low income,African Region,3620312,1.65731572306475,0,1.38109643588729,,612,19,437,12,718255072,0.852064988968153,0.0264529980235211,0.608418954540985,0.0167071566464344,3105,70,2280,58,1162657993,2.67060478549516,0.0602068711705834,1.96102380384186,0.0498856932556262
Dominica,2020-03-29,11,11,0,,Upper middle income,Region of the Americas,72412,151.908523449152,0,151.908523449152,,141016,6513,30745,1503,2519863638,55.9617583560686,2.58466367059819,12.2010570478338,0.596460847061122,146046,2533,109209,2068,1026253579,142.309856928645,2.46820089287114,106.415219624779,2.01509650472069
United Kingdom,2020-03-29,23781,16046,2489,2005,High income,European Region,67281039,353.45768069961,36.9940779303364,238.492155271265,29.8003721375349,535251,31485,310399,20574,1245565549,429.725276545843,25.2776740857016,249.203263729639,16.5177978923051,391225,29225,210983,18832,930808880,420.306475804141,31.3974228522616,226.66629480372,20.2318654287011
French Guiana,2020-03-29,31,16,0,,,,297449,104.219546880306,0,53.7907338737061,,8641,124,6780,94,,,,,,1537,15,465,7,,,,,
Finland,2020-03-29,2683,1105,124,62,High income,European Region,5535992,484.646654113662,22.3988762989542,199.602889599551,11.1994381494771,535251,31485,310399,20574,1245565549,429.725276545843,25.2776740857016,249.203263729639,16.5177978923051,391225,29225,210983,18832,930808880,420.306475804141,31.3974228522616,226.66629480372,20.2318654287011
Dominican Republic,2020-03-29,581,509,20,18,Upper middle income,Region of the Americas,11117873,52.2581972289124,1.79890524023795,45.7821383640558,1.61901471621415,141016,6513,30745,1503,2519863638,55.9617583560686,2.58466367059819,12.2010570478338,0.596460847061122,146046,2533,109209,2068,1026253579,142.309856928645,2.46820089287114,106.415219624779,2.01509650472069
Georgia,2020-03-29,98,44,0,,Upper middle income,European Region,3757980,26.077839690472,0,11.7084178202119,,141016,6513,30745,1503,2519863638,55.9617583560686,2.58466367059819,12.2010570478338,0.596460847061122,391225,29225,210983,18832,930808880,420.306475804141,31.3974228522616,226.66629480372,20.2318654287011
Guam,2020-03-29,55,40,1,1,High income,Western Pacific Region,170534,322.516331054218,5.86393329189487,234.557331675795,5.86393329189487,535251,31485,310399,20574,1245565549,429.725276545843,25.2776740857016,249.203263729639,16.5177978923051,102624,3626,7834,169,1924308889,53.3303154117478,1.88431286719478,4.07107198058575,0.087823738156624
Guernsey,2020-03-29,46,23,0,,,,63065,729.406168239118,0,364.703084119559,,8641,124,6780,94,,,,,,1537,15,465,7,,,,,
Spain,2020-03-29,108864,59344,8577,5663,High income,European Region,47486935,2292.50424353562,180.618100536495,1249.69109924656,119.25385371787,535251,31485,310399,20574,1245565549,429.725276545843,25.2776740857016,249.203263729639,16.5177978923051,391225,29225,210983,18832,930808880,420.306475804141,31.3974228522616,226.66629480372,20.2318654287011
Guinea,2020-03-29,9,5,0,,Lower middle income,African Region,13531906,0.66509477674468,0,0.369497098191489,,5257,141,3344,110,3396756474,1.5476528977685,0.041510188051238,0.98446857335702,0.032383834649902,3105,70,2280,58,1162657993,2.67060478549516,0.0602068711705834,1.96102380384186,0.0498856932556262
