Country,Date,Confirmed Cases,New Cases,Confirmed Deaths,New Deaths,Income,Region,Population,year,cpm,dpm,new_cases_per_million,new_deaths_per_million,cases_income,deaths_income,new_cases_income,new_deaths_income,cpm_income,dpm_income,new_cpm_income,new_dpm_income,cases_region,deaths_region,new_cases_region,new_deaths_region,cpm_region,dpm_region,new_cpm_region,new_dpm_region
Afghanistan,2025-03-30,235214,,7998,,Low income,Eastern Mediterranean Region,40099462,,5865.76448332399,199.454047538094,,,1944751,43529,0,0,2707.60496627582,60.6038184718868,0,0,23417911,351975,0,0,30756.0421139575,462.268300663548,0,0
Albania,2025-03-30,337196,0,3608,,Upper middle income,European Region,2854710,,118119.178480476,1263.87619057628,0,,223125563,2542205,2204,3,88546.6815089619,1008.86609960281,0.874650503607926,0.00119054061289645,281004878,2279825,4506,30,301893.207121101,2449.29442443652,4.84095080829053,0.0322300320125867
Algeria,2025-03-30,272226,,6881,,Upper middle income,African Region,44177969,,6162.0306718944,155.756368066626,,,223125563,2542205,2204,3,88546.6815089619,1008.86609960281,0.874650503607926,0.00119054061289645,9048850,174424,0,0,7782.89923131333,150.02176138654,0,0
American Samoa,2025-03-30,8359,,34,,High income,Western Pacific Region,45035,,185611.191295659,754.968357943822,,,456139441,3473843,4458,366,366210.707550647,2788.96843509277,3.57909706444522,0.293842423864278,208610782,421686,0,0,108408.157958678,219.136336380557,0,0
Andorra,2025-03-30,48015,,159,,High income,European Region,79034,,607523.34438343,2011.79239314725,,,456139441,3473843,4458,366,366210.707550647,2788.96843509277,3.57909706444522,0.293842423864278,281004878,2279825,4506,30,301893.207121101,2449.29442443652,4.84095080829053,0.0322300320125867
Angola,2025-03-30,107487,,1937,,Lower middle income,African Region,34503774,,3115.22443892659,56.1387864411586,,,78217852,928000,3,0,23027.2180530773,273.201805046446,0.000883195490451872,0,9048850,174424,0,0,7782.89923131333,150.02176138654,0,0
Anguilla,2025-03-30,3904,,12,,,Region of the Americas,15753,,247825.810956643,761.759664825748,,,18263894,105690,0,0,,,,,192965327,3052200,2159,339,188028.895536743,2974.11873873718,2.10376854627271,0.33032771523226
Antigua & Barbuda,2025-03-30,9106,,146,,High income,Region of the Americas,93219,,97683.948551261,1566.20431457106,,,456139441,3473843,4458,366,366210.707550647,2788.96843509277,3.57909706444522,0.293842423864278,192965327,3052200,2159,339,188028.895536743,2974.11873873718,2.10376854627271,0.33032771523226
Argentina,2025-03-30,10111872,71,130747,,Upper middle income,Region of the Americas,45276780,,223334.609925883,2887.72743998138,1.56813271615163,,223125563,2542205,2204,3,88546.6815089619,1008.86609960281,0.874650503607926,0.00119054061289645,192965327,3052200,2159,339,188028.895536743,2974.11873873718,2.10376854627271,0.33032771523226
Armenia,2025-03-30,454267,,8785,,Upper middle income,European Region,2790974,,162762.892094301,3147.64666385283,,,223125563,2542205,2204,3,88546.6815089619,1008.86609960281,0.874650503607926,0.00119054061289645,281004878,2279825,4506,30,301893.207121101,2449.29442443652,4.84095080829053,0.0322300320125867
