Country,Date,Confirmed Cases,New Cases,Confirmed Deaths,New Deaths,Income,Region,Population,year,cpm,dpm,new_cases_per_million,new_deaths_per_million,cases_income,deaths_income,new_cases_income,new_deaths_income,cpm_income,dpm_income,new_cpm_income,new_dpm_income,cases_region,deaths_region,new_cases_region,new_deaths_region,cpm_region,dpm_region,new_cpm_region,new_dpm_region
Afghanistan,2024-12-15,235214,,7998,,Low income,Eastern Mediterranean Region,40099462,,5865.76448332399,199.454047538094,,,1944552,43529,24,0,2707.3279059281,60.6038184718868,0.0334143132928688,0,23417911,351975,0,0,30756.0421139575,462.268300663548,0,0
Albania,2024-12-15,337196,0,3608,0,Upper middle income,European Region,2854710,,118119.178480476,1263.87619057628,0,0,222923434,2541565,503,7,88466.4672477805,1008.61211760539,0.199613976095638,0.00277792809675839,280612097,2277824,44500,105,301471.22898097,2447.14468130128,47.8078808186703,0.112805112044054
Algeria,2024-12-15,272189,1,6881,0,Upper middle income,African Region,44177969,,6161.19315036868,155.756368066626,0.0226357169112958,0,222923434,2541565,503,7,88466.4672477805,1008.61211760539,0.199613976095638,0.00277792809675839,9046122,174424,85,0,7780.552883534,150.02176138654,0.0731083435642798,0
American Samoa,2024-12-15,8359,,34,,High income,Western Pacific Region,45035,,185611.191295659,754.968357943822,,,455725557,3460363,47084,518,365878.421545842,2778.14604199526,37.8013024186494,0.415875343064743,208599451,421628,1829,7,108402.269610885,219.106195689355,0.950471107032339,0.00363766962778916
Andorra,2024-12-15,48015,,159,,High income,European Region,79034,,607523.34438343,2011.79239314725,,,455725557,3460363,47084,518,365878.421545842,2778.14604199526,37.8013024186494,0.415875343064743,280612097,2277824,44500,105,301471.22898097,2447.14468130128,47.8078808186703,0.112805112044054
Angola,2024-12-15,107487,,1937,,Lower middle income,African Region,34503774,,3115.22443892659,56.1387864411586,,,78217367,927995,29,0,23027.0752698063,273.200333053962,0.00853755640770143,0,9046122,174424,85,0,7780.552883534,150.02176138654,0.0731083435642798,0
Anguilla,2024-12-15,3904,,12,,,Region of the Americas,15753,,247825.810956643,761.759664825748,,,18263893,105690,0,0,,,,,192764298,3040146,1225,413,187833.009252775,2962.37310369468,1.19366209781569,0.402434650120718
Antigua & Barbuda,2024-12-15,9106,,146,,High income,Region of the Americas,93219,,97683.948551261,1566.20431457106,,,455725557,3460363,47084,518,365878.421545842,2778.14604199526,37.8013024186494,0.415875343064743,192764298,3040146,1225,413,187833.009252775,2962.37310369468,1.19366209781569,0.402434650120718
Argentina,2024-12-15,10110358,156,130730,6,Upper middle income,Region of the Americas,45276780,,223301.171152189,2887.35197158455,3.44547470027683,0.132518257702955,222923434,2541565,503,7,88466.4672477805,1008.61211760539,0.199613976095638,0.00277792809675839,192764298,3040146,1225,413,187833.009252775,2962.37310369468,1.19366209781569,0.402434650120718
Armenia,2024-12-15,453040,0,8779,0,Upper middle income,European Region,2790974,,162323.260625144,3145.49687671759,0,0,222923434,2541565,503,7,88466.4672477805,1008.61211760539,0.199613976095638,0.00277792809675839,280612097,2277824,44500,105,301471.22898097,2447.14468130128,47.8078808186703,0.112805112044054
Aruba,2024-12-15,44224,,292,,High income,Region of the Americas,106537,,415104.611543408,2740.83182368567,,,455725557,3460363,47084,518,365878.421545842,2778.14604199526,37.8013024186494,0.415875343064743,192764298,3040146,1225,413,187833.009252775,2962.37310369468,1.19366209781569,0.402434650120718
Australia,2024-12-15,11861161,,25236,,High income,Western Pacific Region,25921089,,457587.295039958,973.570207640582,,,455725557,3460363,47084,518,365878.421545842,2778.14604199526,37.8013024186494,0.415875343064743,208599451,421628,1829,7,108402.269610885,219.106195689355,0.950471107032339,0.00363766962778916
Austria,2024-12-15,6083011,20,22534,0,High income,European Region,8922082,,681792.769893843,2525.64367823564,2.24162925200643,0,455725557,3460363,47084,518,365878.421545842,2778.14604199526,37.8013024186494,0.415875343064743,280612097,2277824,44500,105,301471.22898097,2447.14468130128,47.8078808186703,0.112805112044054
Azerbaijan,2024-12-15,836492,0,10353,0,Upper middle income,European Region,10312992,,81110.506049069,1003.87937855474,0,0,222923434,2541565,503,7,88466.4672477805,1008.61211760539,0.199613976095638,0.00277792809675839,280612097,2277824,44500,105,301471.22898097,2447.14468130128,47.8078808186703,0.112805112044054
Bahamas,2024-12-15,39127,,849,,High income,Region of the Americas,407906,,95921.6093903988,2081.36188239447,,,455725557,3460363,47084,518,365878.421545842,2778.14604199526,37.8013024186494,0.415875343064743,192764298,3040146,1225,413,187833.009252775,2962.37310369468,1.19366209781569,0.402434650120718
Bahrain,2024-12-15,696614,,1536,,High income,Eastern Mediterranean Region,1463265,,476068.244644682,1049.70733257476,,,455725557,3460363,47084,518,365878.421545842,2778.14604199526,37.8013024186494,0.415875343064743,23417911,351975,0,0,30756.0421139575,462.268300663548,0,0
Bangladesh,2024-12-15,2051506,,29499,,Lower middle income,South-East Asia Region,169356251,,12113.553458384,174.183118874071,,,78217367,927995,29,0,23027.0752698063,273.200333053962,0.00853755640770143,0,61323987,808859,0,0,29819.9860125058,393.323481496554,0,0
Barbados,2024-12-15,108836,0,593,0,High income,Region of the Americas,281200,,387041.251778094,2108.81934566145,0,0,455725557,3460363,47084,518,365878.421545842,2778.14604199526,37.8013024186494,0.415875343064743,192764298,3040146,1225,413,187833.009252775,2962.37310369468,1.19366209781569,0.402434650120718
Belarus,2024-12-15,994045,0,7118,0,Upper middle income,European Region,9578167,,103782.38341428,743.148454187529,0,0,222923434,2541565,503,7,88466.4672477805,1008.61211760539,0.199613976095638,0.00277792809675839,280612097,2277824,44500,105,301471.22898097,2447.14468130128,47.8078808186703,0.112805112044054
Belgium,2024-12-15,4892342,0,34339,0,High income,European Region,11611419,,421338.856172532,2957.34741808904,0,0,455725557,3460363,47084,518,365878.421545842,2778.14604199526,37.8013024186494,0.415875343064743,280612097,2277824,44500,105,301471.22898097,2447.14468130128,47.8078808186703,0.112805112044054
Belize,2024-12-15,71430,0,688,0,Upper middle income,Region of the Americas,400031,,178561.161509983,1719.86671032995,0,0,222923434,2541565,503,7,88466.4672477805,1008.61211760539,0.199613976095638,0.00277792809675839,192764298,3040146,1225,413,187833.009252775,2962.37310369468,1.19366209781569,0.402434650120718
Benin,2024-12-15,28036,,163,,Lower middle income,African Region,12996895,,2157.1306069642,12.5414570172337,,,78217367,927995,29,0,23027.0752698063,273.200333053962,0.00853755640770143,0,9046122,174424,85,0,7780.552883534,150.02176138654,0.0731083435642798,0
Bermuda,2024-12-15,18860,,165,,High income,Region of the Americas,64185,,293838.124172314,2570.6940874036,,,455725557,3460363,47084,518,365878.421545842,2778.14604199526,37.8013024186494,0.415875343064743,192764298,3040146,1225,413,187833.009252775,2962.37310369468,1.19366209781569,0.402434650120718
Bhutan,2024-12-15,62697,,21,,Lower middle income,South-East Asia Region,777486,,80640.6803466558,27.0101326583373,,,78217367,927995,29,0,23027.0752698063,273.200333053962,0.00853755640770143,0,61323987,808859,0,0,29819.9860125058,393.323481496554,0,0
Bolivia,2024-12-15,1212156,,22387,,Lower middle income,Region of the Americas,12079472,,100348.425825235,1853.30948240122,,,78217367,927995,29,0,23027.0752698063,273.200333053962,0.00853755640770143,0,192764298,3040146,1225,413,187833.009252775,2962.37310369468,1.19366209781569,0.402434650120718
Caribbean Netherlands,2024-12-15,11922,,41,,,Region of the Americas,26706,,446416.535609975,1535.23552759679,,,18263893,105690,0,0,,,,,192764298,3040146,1225,413,187833.009252775,2962.37310369468,1.19366209781569,0.402434650120718
Bosnia & Herzegovina,2024-12-15,404093,40,16404,0,Upper middle income,European Region,3270943,,123540.214549749,5015.06752028391,12.2288893447547,0,222923434,2541565,503,7,88466.4672477805,1008.61211760539,0.199613976095638,0.00277792809675839,280612097,2277824,44500,105,301471.22898097,2447.14468130128,47.8078808186703,0.112805112044054
Botswana,2024-12-15,330696,,2801,,Upper middle income,African Region,2588423,,127759.643613119,1082.12606672093,,,222923434,2541565,503,7,88466.4672477805,1008.61211760539,0.199613976095638,0.00277792809675839,9046122,174424,85,0,7780.552883534,150.02176138654,0.0731083435642798,0
Brazil,2024-12-15,37511921,,702116,,Upper middle income,Region of the Americas,214326223,,175022.544954753,3275.92205084489,,,222923434,2541565,503,7,88466.4672477805,1008.61211760539,0.199613976095638,0.00277792809675839,192764298,3040146,1225,413,187833.009252775,2962.37310369468,1.19366209781569,0.402434650120718
British Virgin Islands,2024-12-15,7643,,64,,High income,Region of the Americas,31122,,245581.90347664,2056.42310905469,,,455725557,3460363,47084,518,365878.421545842,2778.14604199526,37.8013024186494,0.415875343064743,192764298,3040146,1225,413,187833.009252775,2962.37310369468,1.19366209781569,0.402434650120718
