Country,Date,Confirmed Cases,New Cases,Confirmed Deaths,New Deaths,Income,Region,Population,cpm,dpm,new_cases_per_million,new_deaths_per_million,cases_income,deaths_income,new_cases_income,new_deaths_income,income_pop,cpm_income,dpm_income,new_cpm_income,new_dpm_income,cases_region,deaths_region,new_cases_region,new_deaths_region,region_pop,cpm_region,dpm_region,new_cpm_region,new_dpm_region
Armenia,2023-06-25,449233,2,8751,1,Upper middle income,European Region,2790974,160959.220687832,3135.46453675312,0.716595711747942,0.358297855873971,239122790,2664999,15281,172,2519863638,94895.1309880364,1057.59651427614,6.06421703522355,0.0682576618060632,275495299,2244451,38777,619,930808880,295974.076869572,2411.29091935608,41.6594650450692,0.665012993859706
Aruba,2023-06-25,44200,,290,,High income,Region of the Americas,106537,414879.337694885,2722.05900297549,,,447920754,3348773,183693,1359,1245565549,359612.349875615,2688.55621664276,147.477585701915,1.09107063943047,192874682,2961405,2925,624,1026253579,187940.569413595,2885.64645288316,2.85017276417216,0.608036856356727
Anguilla,2023-06-25,3904,,12,,,Region of the Americas,15753,247825.810956643,761.759664825748,,,18263016,105686,806,6,,,,,,192874682,2961405,2925,624,1026253579,187940.569413595,2885.64645288316,2.85017276417216,0.608036856356727
Afghanistan,2023-06-25,223156,197,7928,6,Low income,Eastern Mediterranean Region,40099462,5565.06219460002,197.708388207303,4.91278411665473,0.14962794263923,1885866,43138,515,6,718255072,2625.62155634872,60.0594436178238,0.717015472742809,0.00835357832321719,23383754,351341,716,12,761408471,30711.1818302846,461.435633279158,0.94036253505249,0.0157602659506004
Austria,2023-06-25,6080775,828,22534,2,High income,European Region,8922082,681542.155743469,2525.64367823564,92.8034510330661,0.224162925200643,447920754,3348773,183693,1359,1245565549,359612.349875615,2688.55621664276,147.477585701915,1.09107063943047,275495299,2244451,38777,619,930808880,295974.076869572,2411.29091935608,41.6594650450692,0.665012993859706
Albania,2023-06-25,334090,,3604,,Upper middle income,European Region,2854710,117031.15202595,1262.47499746034,,,239122790,2664999,15281,172,2519863638,94895.1309880364,1057.59651427614,6.06421703522355,0.0682576618060632,275495299,2244451,38777,619,930808880,295974.076869572,2411.29091935608,41.6594650450692,0.665012993859706
United Arab Emirates,2023-06-25,1067030,,2349,,High income,Eastern Mediterranean Region,9365145,113936.303175231,250.823665837528,,,447920754,3348773,183693,1359,1245565549,359612.349875615,2688.55621664276,147.477585701915,1.09107063943047,23383754,351341,716,12,761408471,30711.1818302846,461.435633279158,0.94036253505249,0.0157602659506004
Angola,2023-06-25,105904,7,1936,,Lower middle income,African Region,34503774,3069.34539972352,56.1098041043278,0.202876357815235,,60584785,794711,4789,25,3396756474,17836.0696339987,233.961723804166,1.409874401258,0.00735996242043226,9003471,174295,2207,9,1162657993,7743.86883692976,149.910808723955,1.89823663819254,0.00774088343621786
Antigua & Barbuda,2023-06-25,9106,,146,,High income,Region of the Americas,93219,97683.948551261,1566.20431457106,,,447920754,3348773,183693,1359,1245565549,359612.349875615,2688.55621664276,147.477585701915,1.09107063943047,192874682,2961405,2925,624,1026253579,187940.569413595,2885.64645288316,2.85017276417216,0.608036856356727
Burundi,2023-06-25,54142,106,15,,Low income,African Region,12551213,4313.68665323423,1.19510361269465,8.44539886304216,,1885866,43138,515,6,718255072,2625.62155634872,60.0594436178238,0.717015472742809,0.00835357832321719,9003471,174295,2207,9,1162657993,7743.86883692976,149.910808723955,1.89823663819254,0.00774088343621786
Azerbaijan,2023-06-25,831896,6,10281,,Upper middle income,European Region,10312992,80664.8545834226,996.897893453229,0.5817904251259,,239122790,2664999,15281,172,2519863638,94895.1309880364,1057.59651427614,6.06421703522355,0.0682576618060632,275495299,2244451,38777,619,930808880,295974.076869572,2411.29091935608,41.6594650450692,0.665012993859706
Andorra,2023-06-25,48015,,159,,High income,European Region,79034,607523.34438343,2011.79239314725,,,447920754,3348773,183693,1359,1245565549,359612.349875615,2688.55621664276,147.477585701915,1.09107063943047,275495299,2244451,38777,619,930808880,295974.076869572,2411.29091935608,41.6594650450692,0.665012993859706
