Country,Date,Confirmed Cases,New Cases,Confirmed Deaths,New Deaths,Income,Region,Population,year,cpm,dpm,new_cases_per_million,new_deaths_per_million,cases_income,deaths_income,new_cases_income,new_deaths_income,cpm_income,dpm_income,new_cpm_income,new_dpm_income,cases_region,deaths_region,new_cases_region,new_deaths_region,cpm_region,dpm_region,new_cpm_region,new_dpm_region
Afghanistan,2025-09-28,235214,,7998,,Low income,Eastern Mediterranean Region,40099462,,5865.76448332399,199.454047538094,,,1443716,35955,2,0,2010.0324470803,50.058818101879,0.00278452610773906,0,23417911,351975,0,0,30756.0421139575,462.268300663548,0,0
Anguilla,2025-09-28,3904,,12,,,Region of the Americas,15753,,247825.810956643,761.759664825748,,,18765227,113264,1,0,,,,,193125258,3060122,7474,10,188184.735188144,2981.8380784424,7.28280042373426,0.00974418039033216
Aruba,2025-09-28,44224,,292,,High income,Region of the Americas,106537,,415104.611543408,2740.83182368567,,,457635877,3491078,30106,68,367412.118428783,2802.80552300343,24.1705464832184,0.0545936743791555,193125258,3060122,7474,10,188184.735188144,2981.8380784424,7.28280042373426,0.00974418039033216
Armenia,2025-09-28,454719,33,8785,,Upper middle income,European Region,2790974,,162924.842725156,3147.64666385283,11.823829243841,,222573537,2530456,9198,11,88327.6117181703,1004.20354571583,3.65019751914052,0.00436531558062032,281275790,2280804,31161,69,302184.257202187,2450.34619781453,33.4773342514738,0.0741290736289495
Albania,2025-09-28,337215,,3608,,Upper middle income,European Region,2854710,,118125.834147777,1263.87619057628,,,222573537,2530456,9198,11,88327.6117181703,1004.20354571583,3.65019751914052,0.00436531558062032,281275790,2280804,31161,69,302184.257202187,2450.34619781453,33.4773342514738,0.0741290736289495
Angola,2025-09-28,107487,,1937,,Lower middle income,African Region,34503774,,3115.22443892659,56.1387864411586,,,78323483,931883,6,0,23058.3156606946,274.344954409587,0.00176639098090374,0,9050455,174424,21,0,7784.27968885946,150.02176138654,0.018062061351175,0
United Arab Emirates,2025-09-28,1067030,,2349,,High income,Eastern Mediterranean Region,9365145,,113936.303175231,250.823665837528,,,457635877,3491078,30106,68,367412.118428783,2802.80552300343,24.1705464832184,0.0545936743791555,23417911,351975,0,0,30756.0421139575,462.268300663548,0,0
Austria,2025-09-28,6083301,46,22534,,High income,European Region,8922082,,681825.273517997,2525.64367823564,5.15574727961478,,457635877,3491078,30106,68,367412.118428783,2802.80552300343,24.1705464832184,0.0545936743791555,281275790,2280804,31161,69,302184.257202187,2450.34619781453,33.4773342514738,0.0741290736289495
Andorra,2025-09-28,48015,,159,,High income,European Region,79034,,607523.34438343,2011.79239314725,,,457635877,3491078,30106,68,367412.118428783,2802.80552300343,24.1705464832184,0.0545936743791555,281275790,2280804,31161,69,302184.257202187,2450.34619781453,33.4773342514738,0.0741290736289495
Azerbaijan,2025-09-28,836510,,10353,,Upper middle income,European Region,10312992,,81112.2514203444,1003.87937855474,,,222573537,2530456,9198,11,88327.6117181703,1004.20354571583,3.65019751914052,0.00436531558062032,281275790,2280804,31161,69,302184.257202187,2450.34619781453,33.4773342514738,0.0741290736289495
