Country,Date,Confirmed Cases,Confirmed Deaths,New Cases,New Deaths,Income,Region,Population,Case_Change_7_Day_Rolling_Average,Death_Change_7_Day_Rolling_Average,year,cpm,dpm,new_cases_per_million,new_deaths_per_million,cases_income,deaths_income,Case_7_Day_income,Death_7_Day_income,cpm_income,dpm_income,Case_7_Day_income_per_million,Death_7_Day_income_per_million,cases_region,deaths_region,Case_Change_7_Day_region,Death_7_Day_region,cpm_region,dpm_region,Case_7_Day_region_per_million,Death_7_Day_region_per_million
Bahamas,2024-01-07,38084,844,,,High income,Region of the Americas,407906,0,0,,93364.6477374689,2069.10415634975,,,428026896,2959670,184643.285714286,2903.71428571429,343640.602731539,2376.16559190816,148.240520832104,2.33124165006453,192673907,2993530,12331.4285714286,1794.28571428571,187744.930631808,2916.9496323871,12.0159664470496,1.7483843671796
Bahrain,2024-01-07,696614,1536,,,High income,Eastern Mediterranean Region,1463265,0,0,,476068.244644682,1049.70733257476,,,428026896,2959670,184643.285714286,2903.71428571429,343640.602731539,2376.16559190816,148.240520832104,2.33124165006453,23409768,351870,624.285714285714,12.7142857142857,30745.3474601545,462.13039833648,0.819909073858615,0.0166983770190885
Bangladesh,2024-01-07,2046409,29477,117,,Lower middle income,South-East Asia Region,169356251,54.7142857142857,0,,12083.4571379358,174.053215195464,0.690851381682983,,91895260,1187758,5434.14285714286,36.7142857142857,27053.8264086341,349.674169782711,1.59980348863327,0.0108086305260062,61241866,808278,4491,30.4285714285714,29780.0530728661,393.04095890269,2.1838364355234,0.0147964869665198
Barbados,2024-01-07,110174,593,,,High income,Region of the Americas,281200,6.57142857142857,0,,391799.431009957,2108.81934566145,,,428026896,2959670,184643.285714286,2903.71428571429,343640.602731539,2376.16559190816,148.240520832104,2.33124165006453,192673907,2993530,12331.4285714286,1794.28571428571,187744.930631808,2916.9496323871,12.0159664470496,1.7483843671796
Belarus,2024-01-07,994037,7118,,,Upper middle income,European Region,9578167,0,0,,103781.5481814,743.148454187529,,,251075444,2822757,100680.142857143,226.142857142857,99638.5043276695,1120.20228294592,39.954599661215,0.0897440852483372,278463447,2266031,202589.571428571,1197.14285714286,299162.860371508,2434.47505571713,217.648945751969,1.28613175364513
Belgium,2024-01-07,4850998,34339,2253,,High income,European Region,11611419,2866.57142857143,0,,417778.223316203,2957.34741808904,194.033132384595,,428026896,2959670,184643.285714286,2903.71428571429,343640.602731539,2376.16559190816,148.240520832104,2.33124165006453,278463447,2266031,202589.571428571,1197.14285714286,299162.860371508,2434.47505571713,217.648945751969,1.28613175364513
Belize,2024-01-07,71373,688,,,Upper middle income,Region of the Americas,400031,0,0,,178418.672552877,1719.86671032995,,,251075444,2822757,100680.142857143,226.142857142857,99638.5043276695,1120.20228294592,39.954599661215,0.0897440852483372,192673907,2993530,12331.4285714286,1794.28571428571,187744.930631808,2916.9496323871,12.0159664470496,1.7483843671796
Benin,2024-01-07,28036,163,,,Lower middle income,African Region,12996895,0,0,,2157.1306069642,12.5414570172337,,,91895260,1187758,5434.14285714286,36.7142857142857,27053.8264086341,349.674169782711,1.59980348863327,0.0108086305260062,9032943,174375,2095.28571428571,2.28571428571429,7769.2176498889,149.979616576721,1.80215138665091,0.00196593865046803
Bermuda,2024-01-07,18860,165,,,High income,Region of the Americas,64185,0,0,,293838.124172314,2570.6940874036,,,428026896,2959670,184643.285714286,2903.71428571429,343640.602731539,2376.16559190816,148.240520832104,2.33124165006453,192673907,2993530,12331.4285714286,1794.28571428571,187744.930631808,2916.9496323871,12.0159664470496,1.7483843671796
Bhutan,2024-01-07,62697,21,,,Lower middle income,South-East Asia Region,777486,0,0,,80640.6803466558,27.0101326583373,,,91895260,1187758,5434.14285714286,36.7142857142857,27053.8264086341,349.674169782711,1.59980348863327,0.0108086305260062,61241866,808278,4491,30.4285714285714,29780.0530728661,393.04095890269,2.1838364355234,0.0147964869665198
Bolivia,2024-01-07,1211716,22385,,,Lower middle income,Region of the Americas,12079472,297.571428571429,0,,100312.00039207,1853.14391225047,,,91895260,1187758,5434.14285714286,36.7142857142857,27053.8264086341,349.674169782711,1.59980348863327,0.0108086305260062,192673907,2993530,12331.4285714286,1794.28571428571,187744.930631808,2916.9496323871,12.0159664470496,1.7483843671796
Bosnia & Herzegovina,2024-01-07,403540,16381,32,1,Upper middle income,European Region,3270943,30.2857142857143,2,,123371.150154558,5008.03590891067,9.78311147580377,0.305722233618868,251075444,2822757,100680.142857143,226.142857142857,99638.5043276695,1120.20228294592,39.954599661215,0.0897440852483372,278463447,2266031,202589.571428571,1197.14285714286,299162.860371508,2434.47505571713,217.648945751969,1.28613175364513
Botswana,2024-01-07,330417,2800,,,Upper middle income,African Region,2588423,2.85714285714286,0,,127651.855975627,1081.73973110268,,,251075444,2822757,100680.142857143,226.142857142857,99638.5043276695,1120.20228294592,39.954599661215,0.0897440852483372,9032943,174375,2095.28571428571,2.28571428571429,7769.2176498889,149.979616576721,1.80215138665091,0.00196593865046803
Brazil,2024-01-07,37519960,702116,,,Upper middle income,Region of the Americas,214326223,0,0,,175060.053197504,3275.92205084489,,,251075444,2822757,100680.142857143,226.142857142857,99638.5043276695,1120.20228294592,39.954599661215,0.0897440852483372,192673907,2993530,12331.4285714286,1794.28571428571,187744.930631808,2916.9496323871,12.0159664470496,1.7483843671796
British Virgin Islands,2024-01-07,7392,64,,,High income,Region of the Americas,31122,0,0,,237516.869095817,2056.42310905469,,,428026896,2959670,184643.285714286,2903.71428571429,343640.602731539,2376.16559190816,148.240520832104,2.33124165006453,192673907,2993530,12331.4285714286,1794.28571428571,187744.930631808,2916.9496323871,12.0159664470496,1.7483843671796
Brunei,2024-01-07,334235,176,3459,5,High income,Western Pacific Region,445373,2902.28571428571,1.85714285714286,,750460.849669827,395.174381922568,7766.52379017139,11.2265449409821,428026896,2959670,184643.285714286,2903.71428571429,343640.602731539,2376.16559190816,148.240520832104,2.33124165006453,208014759,419274,68982.2857142857,131.428571428571,108098.424420883,217.882899360239,35.8478236569044,0.0682991032156332
Bulgaria,2024-01-07,1325067,38650,1489,20,Upper middle income,European Region,6885868,1228,13,,192432.820379363,5612.94523798597,216.239986011931,2.90449947631874,251075444,2822757,100680.142857143,226.142857142857,99638.5043276695,1120.20228294592,39.954599661215,0.0897440852483372,278463447,2266031,202589.571428571,1197.14285714286,299162.860371508,2434.47505571713,217.648945751969,1.28613175364513
Burkina Faso,2024-01-07,22109,400,,,Low income,African Region,22100683,1.57142857142857,0.285714285714286,,1000.37632321137,18.0989881624925,,,1937144,43494,343,2,2697.01402122504,60.5550892650014,0.477546227477249,0.00278452610773906,9032943,174375,2095.28571428571,2.28571428571429,7769.2176498889,149.979616576721,1.80215138665091,0.00196593865046803
Burundi,2024-01-07,54461,15,,,Low income,African Region,12551213,13.2857142857143,0,,4339.10252339754,1.19510361269465,,,1937144,43494,343,2,2697.01402122504,60.5550892650014,0.477546227477249,0.00278452610773906,9032943,174375,2095.28571428571,2.28571428571429,7769.2176498889,149.979616576721,1.80215138665091,0.00196593865046803
Cambodia,2024-01-07,139039,3056,25,,Lower middle income,Western Pacific Region,16589023,12.7142857142857,0,,8381.38569100784,184.21820260301,1.50702063647751,,91895260,1187758,5434.14285714286,36.7142857142857,27053.8264086341,349.674169782711,1.59980348863327,0.0108086305260062,208014759,419274,68982.2857142857,131.428571428571,108098.424420883,217.882899360239,35.8478236569044,0.0682991032156332
Cameroon,2024-01-07,125137,1974,,,Lower middle income,African Region,27198628,0.714285714285714,0,,4600.85707264352,72.5771902906279,,,91895260,1187758,5434.14285714286,36.7142857142857,27053.8264086341,349.674169782711,1.59980348863327,0.0108086305260062,9032943,174375,2095.28571428571,2.28571428571429,7769.2176498889,149.979616576721,1.80215138665091,0.00196593865046803
Canada,2024-01-07,4764959,53958,4915,60,High income,Region of the Americas,38155012,5427.14285714286,73.4285714285714,,124884.222287756,1414.17856191475,128.816628337058,1.57253259414517,428026896,2959670,184643.285714286,2903.71428571429,343640.602731539,2376.16559190816,148.240520832104,2.33124165006453,192673907,2993530,12331.4285714286,1794.28571428571,187744.930631808,2916.9496323871,12.0159664470496,1.7483843671796
Cape Verde,2024-01-07,64474,417,,,Lower middle income,African Region,587925,0,0,,109663.647574095,709.274142109963,,,91895260,1187758,5434.14285714286,36.7142857142857,27053.8264086341,349.674169782711,1.59980348863327,0.0108086305260062,9032943,174375,2095.28571428571,2.28571428571429,7769.2176498889,149.979616576721,1.80215138665091,0.00196593865046803
Caribbean Netherlands,2024-01-07,11922,41,,,,Region of the Americas,26706,0,0,,446416.535609975,1535.23552759679,,,1212840,3965,19.2857142857143,0,,,,,192673907,2993530,12331.4285714286,1794.28571428571,187744.930631808,2916.9496323871,12.0159664470496,1.7483843671796
Cayman Islands,2024-01-07,31472,37,,,High income,Region of the Americas,68136,0,0,,461899.729951861,543.031583891042,,,428026896,2959670,184643.285714286,2903.71428571429,343640.602731539,2376.16559190816,148.240520832104,2.33124165006453,192673907,2993530,12331.4285714286,1794.28571428571,187744.930631808,2916.9496323871,12.0159664470496,1.7483843671796
Central African Republic,2024-01-07,15440,113,,,Low income,African Region,5457154,10.4285714285714,0,,2829.31359459528,20.7067640018955,,,1937144,43494,343,2,2697.01402122504,60.5550892650014,0.477546227477249,0.00278452610773906,9032943,174375,2095.28571428571,2.28571428571429,7769.2176498889,149.979616576721,1.80215138665091,0.00196593865046803
Chad,2024-01-07,7698,194,,,Low income,African Region,17179740,0,0,,448.085943093435,11.2923711301801,,,1937144,43494,343,2,2697.01402122504,60.5550892650014,0.477546227477249,0.00278452610773906,9032943,174375,2095.28571428571,2.28571428571429,7769.2176498889,149.979616576721,1.80215138665091,0.00196593865046803
Chile,2024-01-07,5334773,62220,2411,16,High income,Region of the Americas,19493184,2687.14285714286,38.1428571428572,,273673.76206986,3191.88491731264,123.6842580463,0.820799721584734,428026896,2959670,184643.285714286,2903.71428571429,343640.602731539,2376.16559190816,148.240520832104,2.33124165006453,192673907,2993530,12331.4285714286,1794.28571428571,187744.930631808,2916.9496323871,12.0159664470496,1.7483843671796
China,2024-01-07,99323756,121908,1029,15,Upper middle income,Western Pacific Region,1425893465,531.571428571429,4.85714285714286,,69657.2068236528,85.4958683747106,0.72165279192159,0.010519719998857,251075444,2822757,100680.142857143,226.142857142857,99638.5043276695,1120.20228294592,39.954599661215,0.0897440852483372,208014759,419274,68982.2857142857,131.428571428571,108098.424420883,217.882899360239,35.8478236569044,0.0682991032156332
Colombia,2024-01-07,6387209,142727,978,,Upper middle income,Region of the Americas,51516562,516.285714285714,0,,123983.603564229,2770.50708469249,18.9841860953377,,251075444,2822757,100680.142857143,226.142857142857,99638.5043276695,1120.20228294592,39.954599661215,0.0897440852483372,192673907,2993530,12331.4285714286,1794.28571428571,187744.930631808,2916.9496323871,12.0159664470496,1.7483843671796
Comoros,2024-01-07,9109,160,,,Lower middle income,African Region,821625,0,0,,11086.5662558953,194.736041381409,,,91895260,1187758,5434.14285714286,36.7142857142857,27053.8264086341,349.674169782711,1.59980348863327,0.0108086305260062,9032943,174375,2095.28571428571,2.28571428571429,7769.2176498889,149.979616576721,1.80215138665091,0.00196593865046803
Congo - Brazzaville,2024-01-07,25213,389,,,Lower middle income,African Region,5835806,0,0,,4320.39721676834,66.6574591410338,,,91895260,1187758,5434.14285714286,36.7142857142857,27053.8264086341,349.674169782711,1.59980348863327,0.0108086305260062,9032943,174375,2095.28571428571,2.28571428571429,7769.2176498889,149.979616576721,1.80215138665091,0.00196593865046803
Congo - Kinshasa,2024-01-07,99338,1468,,,Low income,African Region,95894118,0.714285714285714,0,,1035.91338104804,15.3085510416812,,,1937144,43494,343,2,2697.01402122504,60.5550892650014,0.477546227477249,0.00278452610773906,9032943,174375,2095.28571428571,2.28571428571429,7769.2176498889,149.979616576721,1.80215138665091,0.00196593865046803
Cook Islands,2024-01-07,7203,2,,,,Western Pacific Region,17003,4.42857142857143,0,,423631.123919308,117.626301240957,,,1212840,3965,19.2857142857143,0,,,,,208014759,419274,68982.2857142857,131.428571428571,108098.424420883,217.882899360239,35.8478236569044,0.0682991032156332
Costa Rica,2024-01-07,1230653,9368,,,Upper middle income,Region of the Americas,5153957,0,0,,238778.282395449,1817.63254912682,,,251075444,2822757,100680.142857143,226.142857142857,99638.5043276695,1120.20228294592,39.954599661215,0.0897440852483372,192673907,2993530,12331.4285714286,1794.28571428571,187744.930631808,2916.9496323871,12.0159664470496,1.7483843671796
Croatia,2024-01-07,1309728,18687,,,High income,European Region,4060135,3900.42857142857,31,,322582.377186966,4602.55631894013,,,428026896,2959670,184643.285714286,2903.71428571429,343640.602731539,2376.16559190816,148.240520832104,2.33124165006453,278463447,2266031,202589.571428571,1197.14285714286,299162.860371508,2434.47505571713,217.648945751969,1.28613175364513
Cuba,2024-01-07,1115043,8530,,,Upper middle income,Region of the Americas,11256372,0,0,,99058.8264140524,757.793008262342,,,251075444,2822757,100680.142857143,226.142857142857,99638.5043276695,1120.20228294592,39.954599661215,0.0897440852483372,192673907,2993530,12331.4285714286,1794.28571428571,187744.930631808,2916.9496323871,12.0159664470496,1.7483843671796
Curaçao,2024-01-07,45883,305,,,High income,Region of the Americas,190338,0,0,,241060.639493953,1602.41255030525,,,428026896,2959670,184643.285714286,2903.71428571429,343640.602731539,2376.16559190816,148.240520832104,2.33124165006453,192673907,2993530,12331.4285714286,1794.28571428571,187744.930631808,2916.9496323871,12.0159664470496,1.7483843671796
