Country,Date,Confirmed Cases,New Cases,Confirmed Deaths,New Deaths,Income,Region,Population,cpm,dpm,new_cases_per_million,new_deaths_per_million,cases_income,deaths_income,new_cases_income,new_deaths_income,income_pop,cpm_income,dpm_income,new_cpm_income,new_dpm_income,cases_region,deaths_region,new_cases_region,new_deaths_region,region_pop,cpm_region,dpm_region,new_cpm_region,new_dpm_region
Armenia,2021-06-27,224797,570,4508,10,Upper middle income,European Region,2790974,80544.283106901,1615.20673427986,204.229777848163,3.58297855873971,51942829,1591240,1491592,31496,2519863638,20613.3491577452,631.478614955116,591.933617957148,12.4990890479289,55456415,1213636,402720,7104,930808880,59578.7343584432,1303.85090438759,432.655949736964,7.63207158058054
Anguilla,2021-06-27,109,,0,,,Region of the Americas,15753,6919.31695550054,0,,,5530863,50682,41215,413,,,,,,72169625,1910666,1172340,28340,1026253579,70323.3844702626,1861.78741696744,1142.3492438802,27.6150072262014
Afghanistan,2021-06-27,114220,12314,4650,528,Low income,Eastern Mediterranean Region,40099462,2848.41726804215,115.961655545404,307.086414276581,13.1672589522523,871115,22763,32751,1031,718255072,1212.82123017156,31.6920838952321,45.598007277281,1.43542320853949,10887433,215503,217505,3357,761408471,14299.0699666119,283.032049429353,285.661387132111,4.40893439968046
Aruba,2021-06-27,11125,26,107,,High income,Region of the Americas,106537,104423.815200353,1004.34590799441,244.046669232286,,85219550,1767185,554545,10349,1245565549,68418.3582858553,1418.78121261364,445.215428802776,8.30867553161588,72169625,1910666,1172340,28340,1026253579,70323.3844702626,1861.78741696744,1142.3492438802,27.6150072262014
Austria,2021-06-27,640498,765,12940,26,High income,European Region,8922082,71787.9526325806,1450.33412604816,85.7423188892458,2.91411802760835,85219550,1767185,554545,10349,1245565549,68418.3582858553,1418.78121261364,445.215428802776,8.30867553161588,55456415,1213636,402720,7104,930808880,59578.7343584432,1303.85090438759,432.655949736964,7.63207158058054
United Arab Emirates,2021-06-27,624814,14635,1792,40,High income,Eastern Mediterranean Region,9365145,66716.9595345294,191.347811486101,1562.70938677404,4.27115650638618,85219550,1767185,554545,10349,1245565549,68418.3582858553,1418.78121261364,445.215428802776,8.30867553161588,10887433,215503,217505,3357,761408471,14299.0699666119,283.032049429353,285.661387132111,4.40893439968046
Albania,2021-06-27,132506,22,2455,1,Upper middle income,European Region,2854710,46416.6237551275,859.982274907083,7.70656213766022,0.350298278984555,51942829,1591240,1491592,31496,2519863638,20613.3491577452,631.478614955116,591.933617957148,12.4990890479289,55456415,1213636,402720,7104,930808880,59578.7343584432,1303.85090438759,432.655949736964,7.63207158058054
Angola,2021-06-27,38528,924,887,31,Lower middle income,African Region,34503774,1116.63147341505,25.7073327688733,26.779679231611,0.898452441753183,37132388,541773,538212,13124,3396756474,10931.7192104364,159.497156816194,158.448803769028,3.86368587223012,3929331,94162,172761,2676,1162657993,3379.61036147971,80.9885629023496,148.591418147159,2.30162267503544
Antigua & Barbuda,2021-06-27,1263,,42,,High income,Region of the Americas,93219,13548.7400637209,450.551926109484,,,85219550,1767185,554545,10349,1245565549,68418.3582858553,1418.78121261364,445.215428802776,8.30867553161588,72169625,1910666,1172340,28340,1026253579,70323.3844702626,1861.78741696744,1142.3492438802,27.6150072262014
Burundi,2021-06-27,5423,181,8,,Low income,African Region,12551213,432.069792776204,0.637388593437144,14.4209169265154,,871115,22763,32751,1031,718255072,1212.82123017156,31.6920838952321,45.598007277281,1.43542320853949,3929331,94162,172761,2676,1162657993,3379.61036147971,80.9885629023496,148.591418147159,2.30162267503544
