Country,Date,Confirmed Cases,New Cases,Confirmed Deaths,New Deaths,Income,Region,Population,cpm,dpm,new_cases_per_million,new_deaths_per_million,cases_income,deaths_income,new_cases_income,new_deaths_income,income_pop,cpm_income,dpm_income,new_cpm_income,new_dpm_income,cases_region,deaths_region,new_cases_region,new_deaths_region,region_pop,cpm_region,dpm_region,new_cpm_region,new_dpm_region
Afghanistan,2020-09-27,39192,273,1453,16,Low income,Eastern Mediterranean Region,40099462,977.369721319453,36.2349001091336,6.80807139008499,0.399007847037948,214016,6035,8798,151,718255072,297.966569736942,8.40230753010262,12.2491303479441,0.210231721134299,2339490,60339,124500,2703,761408471,3072.58204906417,79.2465572661064,163.512759237479,3.54999990537274
Aruba,2020-09-27,3756,374,25,2,High income,Region of the Americas,106537,35255.3572937102,234.660258877198,3510.51747280288,18.7728207101758,13513578,466668,777544,9861,1245565549,10849.3511327841,374.663541693702,624.249763992148,7.91688563313018,16549308,633885,792943,19612,1026253579,16125.9442487167,617.66897867257,772.657963125116,19.1102865815194
Anguilla,2020-09-27,3,,0,,,Region of the Americas,15753,190.439916206437,0,,,748727,8171,61286,503,,,,,,16549308,633885,792943,19612,1026253579,16125.9442487167,617.66897867257,772.657963125116,19.1102865815194
Armenia,2020-09-27,49400,1969,951,21,Upper middle income,European Region,2790974,17699.9140801742,340.741260936146,705.488478215849,7.52425497335339,11261057,476038,596080,17751,2519863638,4468.91523421396,188.914190760667,236.552482845105,7.0444288065083,5967655,241533,505782,5092,930808880,6411.25705633578,259.487210736537,543.379001713005,5.47051076693639
Austria,2020-09-27,39129,4661,889,31,High income,European Region,8922082,4385.63555008797,99.6404202516857,522.411697180098,3.47452534060996,13513578,466668,777544,9861,1245565549,10849.3511327841,374.663541693702,624.249763992148,7.91688563313018,5967655,241533,505782,5092,930808880,6411.25705633578,259.487210736537,543.379001713005,5.47051076693639
Albania,2020-09-27,13045,972,373,20,Upper middle income,European Region,2854710,4569.64104935353,130.661258061239,340.489927172988,7.00596557969111,11261057,476038,596080,17751,2519863638,4468.91523421396,188.914190760667,236.552482845105,7.0444288065083,5967655,241533,505782,5092,930808880,6411.25705633578,259.487210736537,543.379001713005,5.47051076693639
United Arab Emirates,2020-09-27,90618,6376,411,7,High income,Eastern Mediterranean Region,9365145,9676.09150739257,43.886133103118,680.822347117957,0.747452388617582,13513578,466668,777544,9861,1245565549,10849.3511327841,374.663541693702,624.249763992148,7.91688563313018,2339490,60339,124500,2703,761408471,3072.58204906417,79.2465572661064,163.512759237479,3.54999990537274
Angola,2020-09-27,4672,771,169,22,Lower middle income,African Region,34503774,135.405477673254,4.89801492439639,22.3453816965066,0.637611410276453,7640915,131402,678619,9635,3396756474,2249.47389030869,38.6845512787856,199.784413511653,2.83652951683459,1166937,28214,26444,1009,1162657993,1003.68036604553,24.2668094743834,22.7444357319272,0.86783904301598
Burundi,2020-09-27,484,11,1,,Low income,African Region,12551213,38.5620099029472,0.0796735741796431,0.876409315976073,,214016,6035,8798,151,718255072,297.966569736942,8.40230753010262,12.2491303479441,0.210231721134299,1166937,28214,26444,1009,1162657993,1003.68036604553,24.2668094743834,22.7444357319272,0.86783904301598
Antigua & Barbuda,2020-09-27,98,3,3,,High income,Region of the Americas,93219,1051.2878275888,32.1822804363917,32.1822804363917,,13513578,466668,777544,9861,1245565549,10849.3511327841,374.663541693702,624.249763992148,7.91688563313018,16549308,633885,792943,19612,1026253579,16125.9442487167,617.66897867257,772.657963125116,19.1102865815194
