Country,Date,Confirmed Cases,New Cases,Confirmed Deaths,New Deaths,Income,Region,Population,year,cpm,dpm,new_cases_per_million,new_deaths_per_million,cases_income,deaths_income,new_cases_income,new_deaths_income,cpm_income,dpm_income,new_cpm_income,new_dpm_income,cases_region,deaths_region,new_cases_region,new_deaths_region,cpm_region,dpm_region,new_cpm_region,new_dpm_region
Bahamas,2025-12-07,39127,,849,,High income,Region of the Americas,407906,,95921.6093903988,2081.36188239447,,,457798628,3495070,10351,183,367542.782768472,2806.01049282875,8.31028122792115,0.146921211932139,193214261,3063902,466,140,188271.461316872,2985.52137862995,0.454078806189479,0.13641852546465
Bhutan,2025-12-07,63193,,21,,Lower middle income,South-East Asia Region,777486,,81278.6339561098,27.0101326583373,,,78324000,931883,1,0,23058.4678647175,274.344954409587,0.000294398496817291,0,61952087,809340,0,0,30125.4119009832,393.557377137944,0,0
Benin,2025-12-07,28036,,163,,Lower middle income,African Region,12996895,,2157.1306069642,12.5414570172337,,,78324000,931883,1,0,23058.4678647175,274.344954409587,0.000294398496817291,0,9050765,174424,8,0,7784.54631928893,150.02176138654,0.0068807852766381,0
Bulgaria,2025-12-07,1340663,71,38773,1,High income,European Region,6885868,,194697.749070996,5630.80790976534,10.3109731409315,0.145224973815937,457798628,3495070,10351,183,367542.782768472,2806.01049282875,8.31028122792115,0.146921211932139,281438122,2281383,10452,45,302358.656054076,2450.96823743237,11.2289431531852,0.0483450480188801
Brazil,2025-12-07,37916506,194,703588,0,Upper middle income,Region of the Americas,214326223,,176910.251434795,3282.79008584031,0.90516222086366,0,222663271,2530824,573,2,88363.2223752895,1004.34958536435,0.227393257063222,0.000793693741930967,193214261,3063902,466,140,188271.461316872,2985.52137862995,0.454078806189479,0.13641852546465
Switzerland,2025-12-07,4487485,566,14170,,High income,European Region,8691406,,516312.895750124,1630.34611431108,65.1217996259754,,457798628,3495070,10351,183,367542.782768472,2806.01049282875,8.31028122792115,0.146921211932139,281438122,2281383,10452,45,302358.656054076,2450.96823743237,11.2289431531852,0.0483450480188801
Belarus,2025-12-07,994061,2,7118,,Upper middle income,European Region,9578167,,103784.053880038,743.148454187529,0.208808219777333,,222663271,2530824,573,2,88363.2223752895,1004.34958536435,0.227393257063222,0.000793693741930967,281438122,2281383,10452,45,302358.656054076,2450.96823743237,11.2289431531852,0.0483450480188801
Bermuda,2025-12-07,18860,,165,,High income,Region of the Americas,64185,,293838.124172314,2570.6940874036,,,457798628,3495070,10351,183,367542.782768472,2806.01049282875,8.31028122792115,0.146921211932139,193214261,3063902,466,140,188271.461316872,2985.52137862995,0.454078806189479,0.13641852546465
Barbados,2025-12-07,109140,0,593,,High income,Region of the Americas,281200,,388122.332859175,2108.81934566145,0,,457798628,3495070,10351,183,367542.782768472,2806.01049282875,8.31028122792115,0.146921211932139,193214261,3063902,466,140,188271.461316872,2985.52137862995,0.454078806189479,0.13641852546465
Chile,2025-12-07,5410308,18,62878,0,High income,Region of the Americas,19493184,,277548.706255479,3225.64030586281,0.923399686782826,0,457798628,3495070,10351,183,367542.782768472,2806.01049282875,8.31028122792115,0.146921211932139,193214261,3063902,466,140,188271.461316872,2985.52137862995,0.454078806189479,0.13641852546465
Belize,2025-12-07,71493,0,688,,Upper middle income,Region of the Americas,400031,,178718.649304679,1719.86671032995,0,,222663271,2530824,573,2,88363.2223752895,1004.34958536435,0.227393257063222,0.000793693741930967,193214261,3063902,466,140,188271.461316872,2985.52137862995,0.454078806189479,0.13641852546465
Brunei,2025-12-07,350550,,182,,High income,Western Pacific Region,445373,,787093.065812252,408.646235851747,,,457798628,3495070,10351,183,367542.782768472,2806.01049282875,8.31028122792115,0.146921211932139,208610782,421686,0,0,108408.157958678,219.136336380557,0,0
Canada,2025-12-07,4819055,,55282,,High income,Region of the Americas,38155012,,126302.017674637,1448.87911449222,,,457798628,3495070,10351,183,367542.782768472,2806.01049282875,8.31028122792115,0.146921211932139,193214261,3063902,466,140,188271.461316872,2985.52137862995,0.454078806189479,0.13641852546465
China,2025-12-07,99381761,0,122398,0,Upper middle income,Western Pacific Region,1425893465,,69697.8865808884,85.8395125613399,0,0,222663271,2530824,573,2,88363.2223752895,1004.34958536435,0.227393257063222,0.000793693741930967,208610782,421686,0,0,108408.157958678,219.136336380557,0,0
Bolivia,2025-12-07,1212178,0,22389,0,Lower middle income,Region of the Americas,12079472,,100350.247096893,1853.47505255197,0,0,78324000,931883,1,0,23058.4678647175,274.344954409587,0.000294398496817291,0,193214261,3063902,466,140,188271.461316872,2985.52137862995,0.454078806189479,0.13641852546465
Congo - Kinshasa,2025-12-07,101010,0,1474,,Low income,African Region,95894118,,1053.34927841977,15.3711200513883,0,,1443768,35955,0,0,2010.10484475911,50.058818101879,0,0,9050765,174424,8,0,7784.54631928893,150.02176138654,0.0068807852766381,0
Côte d’Ivoire,2025-12-07,88531,1,835,,Lower middle income,African Region,27478249,,3221.85740437828,30.3876713541682,0.0363924207834349,,78324000,931883,1,0,23058.4678647175,274.344954409587,0.000294398496817291,0,9050765,174424,8,0,7784.54631928893,150.02176138654,0.0068807852766381,0
Cook Islands,2025-12-07,7375,,2,,,Western Pacific Region,17003,,433746.985826031,117.626301240957,,,18765230,113264,1,0,,,,,208610782,421686,0,0,108408.157958678,219.136336380557,0,0
Botswana,2025-12-07,330699,,2801,,Upper middle income,African Region,2588423,,127760.802619974,1082.12606672093,,,222663271,2530824,573,2,88363.2223752895,1004.34958536435,0.227393257063222,0.000793693741930967,9050765,174424,8,0,7784.54631928893,150.02176138654,0.0068807852766381,0
Djibouti,2025-12-07,15690,,189,,Lower middle income,Eastern Mediterranean Region,1105557,,14191.9412567602,170.954550511643,,,78324000,931883,1,0,23058.4678647175,274.344954409587,0.000294398496817291,0,23417911,351975,0,0,30756.0421139575,462.268300663548,0,0
Cameroon,2025-12-07,125320,,1974,,Lower middle income,African Region,27198628,,4607.58535320238,72.5771902906279,,,78324000,931883,1,0,23058.4678647175,274.344954409587,0.000294398496817291,0,9050765,174424,8,0,7784.54631928893,150.02176138654,0.0068807852766381,0
Central African Republic,2025-12-07,15492,0,113,,Low income,African Region,5457154,,2838.84237095013,20.7067640018955,0,,1443768,35955,0,0,2010.10484475911,50.058818101879,0,0,9050765,174424,8,0,7784.54631928893,150.02176138654,0.0068807852766381,0
